Head,Relation,Tail,SourceSampleID,Negated
Viêm da cơ địa,HAS_SYMPTOM,Ngứa,syn_019,False
Nhiễm trùng đường tiết niệu,HAS_SYMPTOM,Tiểu rắt,syn_020,False
Nhiễm trùng đường tiết niệu,HAS_SYMPTOM,Tiểu buốt,"syn_020,syn_076",False
Esomeprazole 40mg,TREATS,ợ nóng,syn_023,False
Trào ngược dạ dày thực quản,HAS_SYMPTOM,ợ nóng,syn_023,False
Esomeprazole 40mg,PRESCRIBED_FOR,Trào ngược dạ dày thực quản,"syn_023,syn_086",False
Bệnh phổi tắc nghẽn mạn tính,HAS_SYMPTOM,Khó thở khi gắng sức,"syn_024,syn_051",False
Calcium,PRESCRIBED_FOR,Loãng xương,syn_025,False
Vitamin D3,PRESCRIBED_FOR,Loãng xương,syn_025,False
Cường giáp,HAS_SYMPTOM,Hồi hộp,syn_026,False
Cường giáp,HAS_SYMPTOM,Run tay,syn_026,False
Methimazole 5mg,PRESCRIBED_FOR,Cường giáp,syn_026,False
Methimazole 5mg,TREATS,Hồi hộp,syn_026,False
Methimazole 5mg,TREATS,Run tay,syn_026,False
Carbamazepine 200mg,PRESCRIBED_FOR,Động kinh,syn_027,False
Fluconazole 150mg,PRESCRIBED_FOR,Viêm âm đạo do nấm,syn_028,False
Viêm mũi họng cấp,HAS_SYMPTOM,Đau họng,syn_029,False
Viêm mũi họng cấp,HAS_SYMPTOM,Nuốt khó,syn_029,False
Isotretinoin 10mg,PRESCRIBED_FOR,Mụn trứng cá,syn_030,False
Sỏi thận,HAS_SYMPTOM,Đau quặn thận trái,syn_031,False
thuốc giãn cơ trơn,PRESCRIBED_FOR,Sỏi thận,syn_031,False
thuốc giãn cơ trơn,TREATS,Đau quặn thận trái,syn_031,False
Ruột kích thích,HAS_SYMPTOM,Đau bụng,syn_034,False
Ruột kích thích,HAS_SYMPTOM,Đi ngoài phân lỏng,syn_034,False
Cetirizine 10mg,TREATS,Hắt hơi,syn_035,False
Cetirizine 10mg,TREATS,Chảy nước mũi nhiều,syn_035,False
Cetirizine 10mg,PRESCRIBED_FOR,Viêm mũi dị ứng,syn_035,False
Viêm mũi dị ứng,HAS_SYMPTOM,Hắt hơi,syn_035,False
Viêm mũi dị ứng,HAS_SYMPTOM,Chảy nước mũi nhiều,syn_035,False
Methotrexate 10mg/tuần,TREATS,Cứng khớp buổi sáng,syn_036,False
Viêm khớp dạng thấp,HAS_SYMPTOM,Cứng khớp buổi sáng,syn_036,False
Methotrexate 10mg/tuần,PRESCRIBED_FOR,Viêm khớp dạng thấp,"syn_036,syn_083",False
Levothyroxine 50mcg,PRESCRIBED_FOR,Suy giáp,"syn_037,syn_060",False
Nhồi máu não,HAS_SYMPTOM,Liệt nhẹ nửa người trái,syn_038,False
Tai biến mạch máu não,HAS_SYMPTOM,Liệt nhẹ nửa người trái,syn_038,False
U xơ tử cung,HAS_SYMPTOM,Rong kinh,"syn_039,syn_064",False
Oresol,TREATS,Đi ngoài 5 lần/ngày,syn_040,False
Viêm dạ dày ruột nhiễm khuẩn,HAS_SYMPTOM,Đi ngoài 5 lần/ngày,syn_040,False
Oresol,PRESCRIBED_FOR,Viêm dạ dày ruột nhiễm khuẩn,"syn_040,syn_082",False
Clotrimazole,PRESCRIBED_FOR,Nấm da,syn_041,False
Phì đại lành tính tuyến tiền liệt,HAS_SYMPTOM,Tiểu đêm,syn_042,False
Tamsulosin 0.4mg,TREATS,Tiểu đêm,syn_042,False
Tamsulosin 0.4mg,PRESCRIBED_FOR,Phì đại lành tính tuyến tiền liệt,"syn_042,syn_077",False
Thalassemia,CAUSES,Thalassemia,syn_043,False
Warfarin 2.5mg,PRESCRIBED_FOR,Rung nhĩ,syn_044,False
Tenofovir 300mg,PRESCRIBED_FOR,Viêm gan vi-rút B mạn,"syn_045,syn_065",False
Augmentin,PRESCRIBED_FOR,Viêm phổi,"syn_046,syn_068",False
Corticoid,PRESCRIBED_FOR,Viêm gân vai,syn_047,False
Prednisolone 5mg,PRESCRIBED_FOR,Suy tuyến thượng thận,syn_048,False
Sertraline 50mg,PRESCRIBED_FOR,Rối loạn lo âu lan tỏa,syn_049,False
Sertraline 50mg,TREATS,Hồi hộp,syn_049,False
Sertraline 50mg,PRESCRIBED_FOR,Rối loạn lo âu,syn_049,False
Metformin,PRESCRIBED_FOR,Đa nang buồng trứng,syn_050,False
Bệnh phổi tắc nghẽn mạn tính,HAS_SYMPTOM,Ho khạc đờm nhầy mạn tính,syn_051,False
Salmeterol/Fluticasone 50/250 mcg,PRESCRIBED_FOR,Bệnh phổi tắc nghẽn mạn tính,syn_051,False
Cao huyết áp,HAS_SYMPTOM,Đau đầu vùng chẩm,syn_052,False
Cao huyết áp,HAS_SYMPTOM,Chóng mặt,syn_052,False
Cao huyết áp,HAS_SYMPTOM,Đau đầu,syn_052,False
Hen phế quản,HAS_SYMPTOM,Khó thở rít,syn_053,False
Hen phế quản,HAS_SYMPTOM,Ho khan,syn_053,False
Hen phế quản,HAS_SYMPTOM,Đờm trắng,syn_053,False
Mụn trứng cá,HAS_SYMPTOM,Sẩn đỏ viêm,syn_054,False
Mụn trứng cá,HAS_SYMPTOM,Nhân trứng cá đầu đen,syn_054,False
Nhân nữ 2,PRESCRIBED_FOR,Mụn trứng cá,syn_054,False
Aspirin 81mg,PRESCRIBED_FOR,Nhồi máu não,syn_055,False
Nhồi máu não,HAS_SYMPTOM,Liệt nửa người bên phải,syn_055,False
Nhồi máu não,HAS_SYMPTOM,Méo miệng,syn_055,False
Nhồi máu não,HAS_SYMPTOM,Khó nói,syn_055,False
Nấm da,HAS_SYMPTOM,Tổn thương da dạng vành cung có bờ viền rõ,syn_056,False
Nấm da,HAS_SYMPTOM,Ngứa,syn_056,False
Digoxin 0.25mg,PRESCRIBED_FOR,Rung nhĩ,syn_057,False
Rung nhĩ,HAS_SYMPTOM,Hồi hộp đánh trống ngực,syn_057,False
Rung nhĩ,HAS_SYMPTOM,Khó thở khi gắng sức,syn_057,False
Escitalopram 10mg,PRESCRIBED_FOR,Rối loạn lo âu lan tỏa,syn_059,False
Rối loạn lo âu lan tỏa,HAS_SYMPTOM,Lo lắng quá mức,syn_059,False
Rối loạn lo âu lan tỏa,HAS_SYMPTOM,Khó tập trung công việc,syn_059,False
Suy giáp,HAS_SYMPTOM,Mệt mỏi kéo dài,syn_060,False
Suy giáp,HAS_SYMPTOM,Sợ lạnh,syn_060,False
Hydrocortisone 10mg,PRESCRIBED_FOR,Suy tuyến thượng thận,syn_061,False
Suy tuyến thượng thận,HAS_SYMPTOM,Mệt mỏi kéo dài,syn_061,False
Suy tuyến thượng thận,HAS_SYMPTOM,Sụt cân,syn_061,False
Suy tuyến thượng thận,HAS_SYMPTOM,Sụt cân không rõ nguyên nhân,syn_061,False
Thiếu máu thiếu sắt,HAS_SYMPTOM,Mệt mỏi,syn_062,False
Thiếu máu thiếu sắt,HAS_SYMPTOM,Da xanh xao,syn_062,False
Meloxicam 15mg,PRESCRIBED_FOR,Thoát vị đĩa đệm cột sống thắt lưng,syn_063,False
Meloxicam 15mg,TREATS,Đau thắt lưng,syn_063,False
Thoát vị đĩa đệm cột sống thắt lưng,HAS_SYMPTOM,Đau thắt lưng,syn_063,False
Thoát vị đĩa đệm cột sống thắt lưng,HAS_SYMPTOM,Tê bì cẳng chân,syn_063,False
Tranexamic acid 500mg,PRESCRIBED_FOR,U xơ tử cung,syn_064,False
Tranexamic acid 500mg,TREATS,Rong kinh,syn_064,False
Tranexamic acid 500mg,TREATS,Rong kinh kéo dài,syn_064,False
U xơ tử cung,HAS_SYMPTOM,Đau tức hạ vị,syn_064,False
U xơ tử cung,HAS_SYMPTOM,Rong kinh kéo dài,syn_064,False
Viêm gan vi-rút B mạn,HAS_SYMPTOM,Vàng da,syn_065,False
Viêm gan vi-rút B mạn,HAS_SYMPTOM,Mệt mỏi kéo dài,syn_065,False
Viêm gan vi-rút B mạn,CAUSES,Vàng da,syn_065,False
Meloxicam 15mg,PRESCRIBED_FOR,Viêm gân vai,syn_067,False
Viêm gân vai,HAS_SYMPTOM,Đau nhói khớp vai khi giơ tay lên cao,syn_067,False
Viêm gân vai,HAS_SYMPTOM,Hạn chế tầm vận động khớp,syn_067,False
Viêm phổi,HAS_SYMPTOM,Sốt cao,syn_068,False
Viêm phổi,HAS_SYMPTOM,Ho khạc đờm mủ,syn_068,False
Viêm ruột thừa cấp,HAS_SYMPTOM,Đau bụng,syn_069,False
Viêm ruột thừa cấp,HAS_SYMPTOM,Sốt nhẹ,"syn_069,syn_088,syn_092,syn_095",False
Clotrimazole,PRESCRIBED_FOR,Viêm âm đạo do nấm,syn_070,False
Clotrimazole,TREATS,Viêm ngứa,syn_070,False
Viêm âm đạo do nấm,HAS_SYMPTOM,Ngứa rát vùng kín,syn_070,False
Viêm âm đạo do nấm,HAS_SYMPTOM,Ra khí hư đặc dính màu trắng đục như váng sữa,syn_070,False
Viêm âm đạo do nấm,HAS_SYMPTOM,Ngứa rát vùng kín dữ dội,syn_070,False
Cyproterone acetate 2mg,PRESCRIBED_FOR,Đa nang buồng trứng,syn_071,False
Diane-35,PRESCRIBED_FOR,Đa nang buồng trứng,syn_071,False
Ethinylestradiol 0.03mg,PRESCRIBED_FOR,Đa nang buồng trứng,syn_071,False
Đa nang buồng trứng,HAS_SYMPTOM,Rối loạn kinh nguyệt,syn_071,False
Đa nang buồng trứng,HAS_SYMPTOM,Vòng kinh kéo dài,syn_071,False
Đa nang buồng trứng,HAS_SYMPTOM,Rậm lông mặt,syn_071,False
Đái tháo đường týp 2,HAS_SYMPTOM,Khát nước liên tục,syn_072,False
Đái tháo đường týp 2,HAS_SYMPTOM,Sụt cân nhanh,syn_072,False
Depakine Chrono 500mg,PRESCRIBED_FOR,Động kinh,syn_073,False
Depakine Chrono 500mg,TREATS,Cơn co giật,syn_073,False
Depakine Chrono 500mg,TREATS,Co giật toàn thể cứng - gi clon,syn_073,False
Động kinh,HAS_SYMPTOM,Co giật toàn thể cứng - gi clon,syn_073,False
Động kinh,HAS_SYMPTOM,Mất ý thức đột ngột,syn_073,False
Động kinh,HAS_SYMPTOM,Sủi bọt mép,syn_073,False
Động kinh,HAS_SYMPTOM,Mất ý thức,syn_073,False
Bệnh Migraine,HAS_SYMPTOM,Đau đầu dữ dội theo mạch đập ở một bên thái dương,syn_074,False
Bệnh Migraine,HAS_SYMPTOM,Đau đầu dữ dội,syn_074,False
Sumatriptan 50mg,PRESCRIBED_FOR,Bệnh Migraine,syn_074,False
Alendronate 70mg,PRESCRIBED_FOR,Loãng xương,syn_075,False
Loãng xương,HAS_SYMPTOM,Đau nhức âm ỉ vùng cột sống thắt lưng,syn_075,False
Loãng xương,HAS_SYMPTOM,Chiều cao cơ thể giảm,syn_075,False
Loãng xương,HAS_SYMPTOM,Đau nhức âm ỉ cột sống thắt lưng,syn_075,False
Cefixim 200mg,PRESCRIBED_FOR,Nhiễm trùng đường tiết niệu,syn_076,False
Nhiễm trùng đường tiết niệu,HAS_SYMPTOM,Sốt nhẹ,syn_076,False
Phì đại lành tính tuyến tiền liệt,HAS_SYMPTOM,Tiểu khó,syn_077,False
Phì đại lành tính tuyến tiền liệt,HAS_SYMPTOM,Tiểu ngắt quãng,syn_077,False
Ruột kích thích,HAS_SYMPTOM,Đau quặn bụng,syn_078,False
Ruột kích thích,HAS_SYMPTOM,Tiêu chảy,syn_078,False
Ruột kích thích,HAS_SYMPTOM,Táo bón,syn_078,False
Ruột kích thích,HAS_SYMPTOM,Đau quặn bụng từng cơn,syn_078,False
Trimebutin 200mg,PRESCRIBED_FOR,Ruột kích thích,syn_078,False
Trimebutin 200mg,TREATS,Đau quặn bụng,syn_078,False
Trimebutin 200mg,TREATS,Đau quặn bụng từng cơn,syn_078,False
Diclofenac,PRESCRIBED_FOR,Sỏi thận,syn_079,False
Diclofenac,TREATS,Đau quặn thận bên phải,syn_079,False
Sỏi thận,HAS_SYMPTOM,Đau quặn thận bên phải,syn_079,False
Sỏi thận,HAS_SYMPTOM,Tiểu máu vi thể,syn_079,False
Meloxicam 15mg,PRESCRIBED_FOR,Thoái hóa khớp gối,syn_080,False
Thoái hóa khớp gối,HAS_SYMPTOM,Đau khớp,syn_080,False
Thoái hóa khớp gối,HAS_SYMPTOM,Cứng khớp buổi sáng,syn_080,False
Viêm dạ dày ruột nhiễm khuẩn,HAS_SYMPTOM,Tiêu chảy cấp,syn_082,False
Viêm dạ dày ruột nhiễm khuẩn,HAS_SYMPTOM,Đau quặn bụng vùng quanh rốn,syn_082,False
Viêm khớp dạng thấp,HAS_SYMPTOM,Sưng đau các khớp bàn tay đối xứng,syn_083,False
Viêm khớp dạng thấp,HAS_SYMPTOM,Cứng khớp buổi sáng kéo dài trên 1 giờ,syn_083,False
Paracetamol 500mg,PRESCRIBED_FOR,Viêm mũi họng cấp,syn_084,False
Paracetamol 500mg,TREATS,Đau đầu,syn_084,False
Viêm mũi họng cấp,HAS_SYMPTOM,Đau rát họng,syn_084,False
Viêm mũi họng cấp,HAS_SYMPTOM,Nghẹt mũi,syn_084,False
Furosemide 40mg,TREATS,Phù chi dưới,syn_085,False
Furosemide 40mg,TREATS,Khó thở khi gắng sức,syn_085,False
Suy tim sung huyết,HAS_SYMPTOM,Khó thở khi gắng sức,syn_085,False
Suy tim sung huyết,HAS_SYMPTOM,Phù chi dưới,syn_085,False
Trào ngược dạ dày thực quản,HAS_SYMPTOM,Ợ chua,syn_086,False
Trào ngược dạ dày thực quản,HAS_SYMPTOM,Nóng rát sau xương ức,syn_086,False
Omeprazole 20mg,PRESCRIBED_FOR,Loét,syn_087,False
Omeprazole 20mg,TREATS,Đau thượng vị,syn_087,False
Omeprazole 20mg,TREATS,Ợ chua,syn_087,False
Viêm loét dạ dày,HAS_SYMPTOM,Ợ chua,syn_087,False
Viêm loét dạ dày,CAUSES,Đau thượng vị,syn_087,False
Viêm ruột thừa cấp,HAS_SYMPTOM,Đau bụng vùng hố chậu phải,"syn_088,syn_092",False
Meloxicam 15mg,TREATS,Đau nhói vùng thắt lưng,syn_089,False
Rối loạn lipid máu,HAS_SYMPTOM,Tê bì hai chi dưới,syn_090,False
Rối loạn lipid máu,CAUSES,Xơ vữa động mạch cảnh,syn_090,False
Meloxicam 7.5mg,PRESCRIBED_FOR,Đau thắt lưng,syn_091,False
Đau thắt lưng,HAS_SYMPTOM,Đau nhói vùng cột sống,syn_091,False
Đau thắt lưng,HAS_SYMPTOM,Hạn chế vận động rõ rệt khi cúi người,syn_091,False
Đau thắt lưng,HAS_SYMPTOM,Hạn chế vận động,syn_091,False
Atorvastatin 20mg,PRESCRIBED_FOR,Xơ vữa động mạch cảnh,syn_093,False
Xơ vữa động mạch cảnh,HAS_SYMPTOM,Chóng mặt kéo dài,syn_093,False
Xơ vữa động mạch cảnh,HAS_SYMPTOM,Tê yếu nửa người thoáng qua,syn_093,False
Rối loạn lipid máu,HAS_SYMPTOM,Đau tức ngực âm ỉ,syn_094,False
Rối loạn lipid máu,HAS_SYMPTOM,Chóng mặt,syn_094,False
Rối loạn lipid máu,HAS_SYMPTOM,Hoa mắt,syn_094,False
"NaCl 0,9% 500ml",PRESCRIBED_FOR,Viêm ruột thừa cấp,syn_095,False
Viêm ruột thừa cấp,HAS_SYMPTOM,Đau quặn hố chậu phải,syn_095,False
Meloxicam 15mg,PRESCRIBED_FOR,Đau thắt lưng,syn_096,False
Đau thắt lưng,HAS_SYMPTOM,Hạn chế vận động cột sống,syn_096,False
Đau thắt lưng,HAS_SYMPTOM,Co cứng cơ cạnh sống thắt lưng,syn_096,False
