label,name,old_code,new_code,reason
SYMPTOM,Ho khạc đờm mủ,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Ho khạc đờm nhầy mạn tính,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Hoa mắt,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Hạn chế tầm vận động khớp,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Hạn chế vận động cột sống,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Hạn chế vận động rõ rệt khi cúi người,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Hắt hơi,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Hồi hộp,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Hồi hộp đánh trống ngực,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Khát nước liên tục,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Khó nói,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Khó thở khi gắng sức,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Khó thở rít,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Khó tập trung công việc,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Liệt nhẹ nửa người trái,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Liệt nửa người bên phải,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Lo lắng quá mức,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Méo miệng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Mảng đỏ,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Mất ý thức đột ngột,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Mệt mỏi,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Mệt mỏi kéo dài,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Nghẹt mũi,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Ngứa,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Ngứa rát vùng kín,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Nhân trứng cá đầu đen,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Nuốt khó,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Nóng rát sau xương ức,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Phù chi dưới,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Phù hai chi dưới,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Ra khí hư đặc dính màu trắng đục như váng sữa,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Rong kinh,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Run tay,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Rậm lông mặt,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Rối loạn kinh nguyệt,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Sưng đau các khớp bàn tay đối xứng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Sẩn đỏ viêm,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Sốt cao,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Sốt nhẹ,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Sợ lạnh,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Sụt cân,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Sụt cân nhanh,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Sủi bọt mép,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tiêu chảy,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tiêu chảy cấp,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tiểu buốt,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tiểu khó,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tiểu máu vi thể,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tiểu ngắt quãng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tiểu rắt,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tiểu đêm,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Táo bón,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tê bì cẳng chân,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tê bì hai chi dưới,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tê yếu nửa người thoáng qua,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Tổn thương da dạng vành cung có bờ viền rõ,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Viêm ngứa,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Vàng da,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Vòng kinh kéo dài,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,ho,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,sốt,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau bụng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau bụng vùng hố chậu phải,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau dữ dội,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau họng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau khớp,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau nhói khớp vai khi giơ tay lên cao,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau nhói vùng cột sống,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau nhói vùng thắt lưng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau nhức âm ỉ vùng cột sống thắt lưng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau quặn bụng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau quặn bụng vùng quanh rốn,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau quặn hố chậu phải,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau quặn thận bên phải,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau quặn thận trái,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau rát họng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau thượng vị,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau thần kinh tọa,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau thắt lưng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau tăng khi vận động,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau tức hạ vị,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau tức ngực âm ỉ,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau âm ỉ vùng hố chậu phải,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau đầu,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau đầu dữ dội theo mạch đập ở một bên thái dương,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đau đầu vùng chẩm,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đi ngoài 5 lần/ngày,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đi ngoài phân lỏng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Đờm trắng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,Ợ chua,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
SYMPTOM,ợ nóng,UNKNOWN,,"sentinel dang chuoi -> null. Node chua link duoc; gia tri nay khong mang thong tin nao, nhung lam rang buoc UNIQUE khong the tao duoc."
