name,labels,label_count_on_node,nodes_with_this_exact_name,distinct_labels_for_this_exact_name,normalized_key,nodes_with_this_normalized_key,distinct_labels_for_normalized_key,collision_type,degree,in_degree,out_degree,source_sample_ids
Cứng khớp buổi sáng kéo dài trên 1 giờ,SYMPTOM,1,1,1,cứng khớp buổi sáng kéo dài trên 1 giờ,1,1,NONE,1,1,0,syn_083
Da xanh xao,SYMPTOM,1,1,1,da xanh xao,1,1,NONE,1,1,0,syn_062
Depakine Chrono 500mg,DRUG,1,1,1,depakine chrono 500mg,1,1,NONE,2,0,2,syn_073
Diane-35,DRUG,1,1,1,diane-35,1,1,NONE,1,0,1,syn_071
Diclofenac,DRUG,1,1,1,diclofenac,1,1,NONE,4,0,4,syn_079;syn_009
Digoxin 0.25mg,DRUG,1,1,1,digoxin 0.25mg,1,1,NONE,1,0,1,syn_057
Escitalopram 10mg,DRUG,1,1,1,escitalopram 10mg,1,1,NONE,1,0,1,syn_059
Esomeprazole 40mg,DRUG,1,1,1,esomeprazole 40mg,1,1,NONE,2,0,2,syn_023;syn_086
Ethinylestradiol 0.03mg,DRUG,1,1,1,ethinylestradiol 0.03mg,1,1,NONE,1,0,1,syn_071
Ferrous sulfate,DRUG,1,1,1,ferrous sulfate,1,1,NONE,1,0,1,syn_017;syn_062
Fluconazole 150mg,DRUG,1,1,1,fluconazole 150mg,1,1,NONE,1,0,1,syn_028
Furosemide 40mg,DRUG,1,1,1,furosemide 40mg,1,1,NONE,2,0,2,syn_085;syn_008;syn_022
Hen phế quản,DISEASE,1,1,1,hen phế quản,1,1,NONE,4,1,3,syn_053;syn_007
Ho khan,SYMPTOM,1,1,1,ho khan,1,1,NONE,1,1,0,syn_053
Ho khan kéo dài,SYMPTOM,1,1,1,ho khan kéo dài,1,1,NONE,1,1,0,syn_013
Ho khạc đờm mủ,SYMPTOM,1,1,1,ho khạc đờm mủ,1,1,NONE,1,1,0,syn_068
Ho khạc đờm nhầy mạn tính,SYMPTOM,1,1,1,ho khạc đờm nhầy mạn tính,1,1,NONE,1,1,0,syn_051
Hoa mắt,SYMPTOM,1,1,1,hoa mắt,1,1,NONE,1,1,0,syn_094
Hydrocortisone,DRUG,1,1,1,hydrocortisone,1,1,NONE,3,0,3,syn_019
Hydrocortisone 10mg,DRUG,1,1,1,hydrocortisone 10mg,1,1,NONE,1,0,1,syn_061
Hạn chế tầm vận động khớp,SYMPTOM,1,1,1,hạn chế tầm vận động khớp,1,1,NONE,1,1,0,syn_067
Hạn chế vận động cột sống,SYMPTOM,1,1,1,hạn chế vận động cột sống,1,1,NONE,1,1,0,syn_096
Hạn chế vận động rõ rệt khi cúi người,SYMPTOM,1,1,1,hạn chế vận động rõ rệt khi cúi người,1,1,NONE,1,1,0,syn_091
Hắt hơi,SYMPTOM,1,1,1,hắt hơi,1,1,NONE,2,2,0,syn_035
Hồi hộp,SYMPTOM,1,1,1,hồi hộp,1,1,NONE,2,2,0,syn_049;syn_026
Hồi hộp đánh trống ngực,SYMPTOM,1,1,1,hồi hộp đánh trống ngực,1,1,NONE,1,1,0,syn_057
Ibuprofen,DRUG,1,1,1,ibuprofen,1,1,NONE,1,0,1,syn_003
Isotretinoin 10mg,DRUG,1,1,1,isotretinoin 10mg,1,1,NONE,1,0,1,syn_030
Khát nước liên tục,SYMPTOM,1,1,1,khát nước liên tục,1,1,NONE,1,1,0,syn_072
Khó nói,SYMPTOM,1,1,1,khó nói,1,1,NONE,1,1,0,syn_055
Khó thở khi gắng sức,SYMPTOM,1,1,1,khó thở khi gắng sức,1,1,NONE,3,3,0,syn_085;syn_057;syn_024;syn_051
Khó thở rít,SYMPTOM,1,1,1,khó thở rít,1,1,NONE,1,1,0,syn_053
Khó tập trung công việc,SYMPTOM,1,1,1,khó tập trung công việc,1,1,NONE,1,1,0,syn_059
Levothyroxine 50mcg,DRUG,1,1,1,levothyroxine 50mcg,1,1,NONE,1,0,1,syn_037;syn_060
Lisinopril 10mg,DRUG,1,1,1,lisinopril 10mg,1,1,NONE,1,0,1,syn_008
Liệt nhẹ nửa người trái,SYMPTOM,1,1,1,liệt nhẹ nửa người trái,1,1,NONE,1,1,0,syn_038
Liệt nửa người bên phải,SYMPTOM,1,1,1,liệt nửa người bên phải,1,1,NONE,1,1,0,syn_055
Lo lắng quá mức,SYMPTOM,1,1,1,lo lắng quá mức,1,1,NONE,1,1,0,syn_059
Loratadine,DRUG,1,1,1,loratadine,1,1,NONE,2,0,2,syn_019
Loãng xương,DISEASE,1,1,1,loãng xương,1,1,NONE,5,3,2,syn_075;syn_025
Meloxicam 15mg,DRUG,1,1,1,meloxicam 15mg,1,1,NONE,8,0,8,syn_096;syn_089;syn_080;syn_067;syn_063
Meloxicam 7.5mg,DRUG,1,1,1,meloxicam 7.5mg,1,1,NONE,3,0,3,syn_091
Metformin,DRUG,1,1,1,metformin,1,1,NONE,2,0,2,syn_050;syn_001;syn_004;syn_015;syn_072
Methimazole 5mg,DRUG,1,1,1,methimazole 5mg,1,1,NONE,1,0,1,syn_026
Methotrexate 10mg/tuần,DRUG,1,1,1,methotrexate 10mg/tuần,1,1,NONE,1,0,1,syn_036;syn_083
Méo miệng,SYMPTOM,1,1,1,méo miệng,1,1,NONE,1,1,0,syn_055
Mảng đỏ,SYMPTOM,1,1,1,mảng đỏ,1,1,NONE,2,2,0,syn_019
Mất ý thức đột ngột,SYMPTOM,1,1,1,mất ý thức đột ngột,1,1,NONE,1,1,0,syn_073
Mệt mỏi,SYMPTOM,1,1,1,mệt mỏi,1,1,NONE,1,1,0,syn_062
Mệt mỏi kéo dài,SYMPTOM,1,1,1,mệt mỏi kéo dài,1,1,NONE,3,3,0,syn_065;syn_061;syn_060
Mụn trứng cá,DISEASE,1,1,1,mụn trứng cá,1,1,NONE,3,1,2,syn_054;syn_030
Nghẹt mũi,SYMPTOM,1,1,1,nghẹt mũi,1,1,NONE,1,1,0,syn_084
Ngứa,SYMPTOM,1,1,1,ngứa,1,1,NONE,4,4,0,syn_056;syn_019
Ngứa rát vùng kín,SYMPTOM,1,1,1,ngứa rát vùng kín,1,1,NONE,1,1,0,syn_070
Nhiễm trùng đường tiết niệu,DISEASE,1,1,1,nhiễm trùng đường tiết niệu,1,1,NONE,4,1,3,syn_076;syn_020
Nhân trứng cá đầu đen,SYMPTOM,1,1,1,nhân trứng cá đầu đen,1,1,NONE,1,1,0,syn_054
Nhồi máu não,DISEASE,1,1,1,nhồi máu não,1,1,NONE,5,1,4,syn_055;syn_038
Nuốt khó,SYMPTOM,1,1,1,nuốt khó,1,1,NONE,1,1,0,syn_029
Nóng rát sau xương ức,SYMPTOM,1,1,1,nóng rát sau xương ức,1,1,NONE,1,1,0,syn_086
Nấm da,DISEASE,1,1,1,nấm da,1,1,NONE,3,1,2,syn_056;syn_041
Omeprazole 20mg,DRUG,1,1,1,omeprazole 20mg,1,1,NONE,2,0,2,syn_003;syn_012;syn_087
Oresol,DRUG,1,1,1,oresol,1,1,NONE,1,0,1,syn_040;syn_082
Paracetamol 500mg,DRUG,1,1,1,paracetamol 500mg,1,1,NONE,3,0,3,syn_084;syn_018
Phì đại lành tính tuyến tiền liệt,DISEASE,1,1,1,phì đại lành tính tuyến tiền liệt,1,1,NONE,4,1,3,syn_077;syn_042
Phù chi dưới,SYMPTOM,1,1,1,phù chi dưới,1,1,NONE,2,2,0,syn_085
Phù hai chi dưới,SYMPTOM,1,1,1,phù hai chi dưới,1,1,NONE,1,1,0,syn_008
Prednisolone 5mg,DRUG,1,1,1,prednisolone 5mg,1,1,NONE,1,0,1,syn_048
Ra khí hư đặc dính màu trắng đục như váng sữa,SYMPTOM,1,1,1,ra khí hư đặc dính màu trắng đục như váng sữa,1,1,NONE,1,1,0,syn_070
Rong kinh,SYMPTOM,1,1,1,rong kinh,1,1,NONE,2,2,0,syn_064;syn_039
Run tay,SYMPTOM,1,1,1,run tay,1,1,NONE,1,1,0,syn_026
Rung nhĩ,DISEASE,1,1,1,rung nhĩ,1,1,NONE,4,2,2,syn_057;syn_044
Ruột kích thích,DISEASE,1,1,1,ruột kích thích,1,1,NONE,6,1,5,syn_078;syn_034
Rậm lông mặt,SYMPTOM,1,1,1,rậm lông mặt,1,1,NONE,1,1,0,syn_071
Rối loạn kinh nguyệt,SYMPTOM,1,1,1,rối loạn kinh nguyệt,1,1,NONE,1,1,0,syn_071
Rối loạn lipid máu,DISEASE,1,1,1,rối loạn lipid máu,1,1,NONE,6,1,5,syn_094;syn_090;syn_010;syn_033;syn_058;syn_066;syn_081
Rối loạn lo âu lan tỏa,DISEASE,1,1,1,rối loạn lo âu lan tỏa,1,1,NONE,4,2,2,syn_059;syn_049
Salbutamol,DRUG,1,1,1,salbutamol,1,1,NONE,2,0,2,syn_013;syn_007;syn_053
Salmeterol/Fluticasone 50/250 mcg,DRUG,1,1,1,salmeterol/fluticasone 50/250 mcg,1,1,NONE,1,0,1,syn_051
Sertraline 50mg,DRUG,1,1,1,sertraline 50mg,1,1,NONE,2,0,2,syn_049
Sumatriptan 50mg,DRUG,1,1,1,sumatriptan 50mg,1,1,NONE,1,0,1,syn_074
Suy giáp,DISEASE,1,1,1,suy giáp,1,1,NONE,3,1,2,syn_060;syn_037
Suy tim sung huyết,DISEASE,1,1,1,suy tim sung huyết,1,1,NONE,5,2,3,syn_085;syn_008;syn_022
Suy tuyến thượng thận,DISEASE,1,1,1,suy tuyến thượng thận,1,1,NONE,4,2,2,syn_061;syn_048
Sưng đau các khớp bàn tay đối xứng,SYMPTOM,1,1,1,sưng đau các khớp bàn tay đối xứng,1,1,NONE,1,1,0,syn_083
Sẩn đỏ viêm,SYMPTOM,1,1,1,sẩn đỏ viêm,1,1,NONE,1,1,0,syn_054
Sỏi thận,DISEASE,1,1,1,sỏi thận,1,1,NONE,5,2,3,syn_079;syn_031
Sốt cao,SYMPTOM,1,1,1,sốt cao,1,1,NONE,1,1,0,syn_068
Sốt nhẹ,SYMPTOM,1,1,1,sốt nhẹ,1,1,NONE,2,2,0,syn_076;syn_069;syn_088;syn_092;syn_095
Sợ lạnh,SYMPTOM,1,1,1,sợ lạnh,1,1,NONE,1,1,0,syn_060
Sụt cân,SYMPTOM,1,1,1,sụt cân,1,1,NONE,1,1,0,syn_061
Sụt cân nhanh,SYMPTOM,1,1,1,sụt cân nhanh,1,1,NONE,1,1,0,syn_072
Sủi bọt mép,SYMPTOM,1,1,1,sủi bọt mép,1,1,NONE,1,1,0,syn_073
Tamsulosin 0.4mg,DRUG,1,1,1,tamsulosin 0.4mg,1,1,NONE,2,0,2,syn_042;syn_077
Tenofovir 300mg,DRUG,1,1,1,tenofovir 300mg,1,1,NONE,1,0,1,syn_045;syn_065
Thiếu máu thiếu sắt,DISEASE,1,1,1,thiếu máu thiếu sắt,1,1,NONE,3,1,2,syn_062;syn_017
Thoái hóa khớp,DISEASE,1,1,1,thoái hóa khớp,1,1,NONE,5,2,3,syn_080;syn_014
Thoát vị đĩa đệm cột sống thắt lưng,DISEASE,1,1,1,thoát vị đĩa đệm cột sống thắt lưng,1,1,NONE,4,2,2,syn_063;syn_009
Tiêu chảy,SYMPTOM,1,1,1,tiêu chảy,1,1,NONE,1,1,0,syn_078
Tiêu chảy cấp,SYMPTOM,1,1,1,tiêu chảy cấp,1,1,NONE,1,1,0,syn_082
Tiểu buốt,SYMPTOM,1,1,1,tiểu buốt,1,1,NONE,1,1,0,syn_020;syn_076
Tiểu khó,SYMPTOM,1,1,1,tiểu khó,1,1,NONE,1,1,0,syn_077
Tiểu máu vi thể,SYMPTOM,1,1,1,tiểu máu vi thể,1,1,NONE,1,1,0,syn_079
Tiểu ngắt quãng,SYMPTOM,1,1,1,tiểu ngắt quãng,1,1,NONE,1,1,0,syn_077
Tiểu rắt,SYMPTOM,1,1,1,tiểu rắt,1,1,NONE,1,1,0,syn_020
Tiểu đêm,SYMPTOM,1,1,1,tiểu đêm,1,1,NONE,2,2,0,syn_042
Tranexamic acid 500mg,DRUG,1,1,1,tranexamic acid 500mg,1,1,NONE,2,0,2,syn_064
Trimebutin 200mg,DRUG,1,1,1,trimebutin 200mg,1,1,NONE,3,0,3,syn_078
Trào ngược dạ dày thực quản,DISEASE,1,1,1,trào ngược dạ dày thực quản,1,1,NONE,5,2,3,syn_086;syn_023;syn_003
Táo bón,SYMPTOM,1,1,1,táo bón,1,1,NONE,1,1,0,syn_078
Tê bì cẳng chân,SYMPTOM,1,1,1,tê bì cẳng chân,1,1,NONE,1,1,0,syn_063
Tê bì hai chi dưới,SYMPTOM,1,1,1,tê bì hai chi dưới,1,1,NONE,1,1,0,syn_090
Tê yếu nửa người thoáng qua,SYMPTOM,1,1,1,tê yếu nửa người thoáng qua,1,1,NONE,1,1,0,syn_093
Tổn thương da dạng vành cung có bờ viền rõ,SYMPTOM,1,1,1,tổn thương da dạng vành cung có bờ viền rõ,1,1,NONE,1,1,0,syn_056
U xơ tử cung,DISEASE,1,1,1,u xơ tử cung,1,1,NONE,3,1,2,syn_064;syn_039
Vitamin D3,DRUG,1,1,1,vitamin d3,1,1,NONE,1,0,1,syn_025
Viêm da cơ địa,DISEASE,1,1,1,viêm da cơ địa,1,1,NONE,4,2,2,syn_019
Viêm dạ dày ruột nhiễm khuẩn,DISEASE,1,1,1,viêm dạ dày ruột nhiễm khuẩn,1,1,NONE,4,1,3,syn_082;syn_040
Viêm gan vi-rút B mạn,DISEASE,1,1,1,viêm gan vi-rút b mạn,1,1,NONE,4,1,3,syn_065;syn_045
Viêm gân vai,DISEASE,1,1,1,viêm gân vai,1,1,NONE,4,2,2,syn_067;syn_047
Viêm khớp dạng thấp,DISEASE,1,1,1,viêm khớp dạng thấp,1,1,NONE,4,1,3,syn_083;syn_036
Viêm loét dạ dày,DISEASE,1,1,1,viêm loét dạ dày,1,1,NONE,6,3,3,syn_087;syn_012;syn_003
Viêm mũi dị ứng,DISEASE,1,1,1,viêm mũi dị ứng,1,1,NONE,3,1,2,syn_035
Viêm mũi họng cấp,DISEASE,1,1,1,viêm mũi họng cấp,1,1,NONE,5,1,4,syn_084;syn_029
Viêm ngứa,SYMPTOM,1,1,1,viêm ngứa,1,1,NONE,1,1,0,syn_070
Viêm phế quản cấp,DISEASE,1,1,1,viêm phế quản cấp,1,1,NONE,3,1,2,syn_018;syn_006
Viêm phổi,DISEASE,1,1,1,viêm phổi,1,1,NONE,5,3,2,syn_091;syn_080;syn_089;syn_068;syn_046
Viêm ruột thừa cấp,DISEASE,1,1,1,viêm ruột thừa cấp,1,1,NONE,5,0,5,syn_095;syn_088;syn_092;syn_069;syn_005
Viêm âm đạo do nấm,DISEASE,1,1,1,viêm âm đạo do nấm,1,1,NONE,4,2,2,syn_070;syn_028
Vàng da,SYMPTOM,1,1,1,vàng da,1,1,NONE,2,2,0,syn_065
Vòng kinh kéo dài,SYMPTOM,1,1,1,vòng kinh kéo dài,1,1,NONE,1,1,0,syn_071
Warfarin 2.5mg,DRUG,1,1,1,warfarin 2.5mg,1,1,NONE,1,0,1,syn_044
Xơ vữa động mạch cảnh,DISEASE,1,1,1,xơ vữa động mạch cảnh,1,1,NONE,4,2,2,syn_093;syn_090
ho,SYMPTOM,1,1,1,ho,1,1,NONE,1,1,0,syn_018
sốt,SYMPTOM,1,1,1,sốt,1,1,NONE,2,2,0,syn_018;syn_084
thuốc giãn cơ trơn,DRUG_GROUP,1,1,1,thuốc giãn cơ trơn,1,1,NONE,1,0,1,syn_031
Đa nang buồng trứng,DISEASE,1,1,1,đa nang buồng trứng,1,1,NONE,7,4,3,syn_071;syn_050
Đau bụng,SYMPTOM,1,1,1,đau bụng,1,1,NONE,2,2,0,syn_069;syn_034
Đau bụng vùng hố chậu phải,SYMPTOM,1,1,1,đau bụng vùng hố chậu phải,1,1,NONE,1,1,0,syn_088;syn_092
Đau dữ dội,SYMPTOM,1,1,1,đau dữ dội,1,1,NONE,1,1,0,syn_016
Đau họng,SYMPTOM,1,1,1,đau họng,1,1,NONE,1,1,0,syn_029
Đau khớp,SYMPTOM,1,1,1,đau khớp,1,1,NONE,1,1,0,syn_080
Đau lưng dưới,DISEASE,1,1,1,đau lưng dưới,1,1,NONE,6,2,4,syn_096;syn_091
Đau nhói khớp vai khi giơ tay lên cao,SYMPTOM,1,1,1,đau nhói khớp vai khi giơ tay lên cao,1,1,NONE,1,1,0,syn_067
Đau nhói vùng cột sống,SYMPTOM,1,1,1,đau nhói vùng cột sống,1,1,NONE,1,1,0,syn_091
Đau nhói vùng thắt lưng,SYMPTOM,1,1,1,đau nhói vùng thắt lưng,1,1,NONE,1,1,0,syn_089
Đau nhức âm ỉ vùng cột sống thắt lưng,SYMPTOM,1,1,1,đau nhức âm ỉ vùng cột sống thắt lưng,1,1,NONE,1,1,0,syn_075
Đau quặn bụng,SYMPTOM,1,1,1,đau quặn bụng,1,1,NONE,2,2,0,syn_078
Đau quặn bụng vùng quanh rốn,SYMPTOM,1,1,1,đau quặn bụng vùng quanh rốn,1,1,NONE,1,1,0,syn_082
Đau quặn hố chậu phải,SYMPTOM,1,1,1,đau quặn hố chậu phải,1,1,NONE,1,1,0,syn_095
Đau quặn thận bên phải,SYMPTOM,1,1,1,đau quặn thận bên phải,1,1,NONE,2,2,0,syn_079
Đau quặn thận trái,SYMPTOM,1,1,1,đau quặn thận trái,1,1,NONE,1,1,0,syn_031
Đau rát họng,SYMPTOM,1,1,1,đau rát họng,1,1,NONE,1,1,0,syn_084
Đau thượng vị,SYMPTOM,1,1,1,đau thượng vị,1,1,NONE,2,2,0,syn_087;syn_012
Đau thần kinh tọa,SYMPTOM,1,1,1,đau thần kinh tọa,1,1,NONE,1,1,0,syn_009
Đau thắt lưng,SYMPTOM,1,1,1,đau thắt lưng,1,1,NONE,2,2,0,syn_063
Đau tăng khi vận động,SYMPTOM,1,1,1,đau tăng khi vận động,1,1,NONE,1,1,0,syn_014
Đau tức hạ vị,SYMPTOM,1,1,1,đau tức hạ vị,1,1,NONE,1,1,0,syn_064
Đau tức ngực âm ỉ,SYMPTOM,1,1,1,đau tức ngực âm ỉ,1,1,NONE,1,1,0,syn_094
Đau âm ỉ vùng hố chậu phải,SYMPTOM,1,1,1,đau âm ỉ vùng hố chậu phải,1,1,NONE,1,1,0,syn_005
Đau đầu,SYMPTOM,1,1,1,đau đầu,1,1,NONE,1,1,0,syn_084
Đau đầu dữ dội theo mạch đập ở một bên thái dương,SYMPTOM,1,1,1,đau đầu dữ dội theo mạch đập ở một bên thái dương,1,1,NONE,1,1,0,syn_074
Đau đầu vùng chẩm,SYMPTOM,1,1,1,đau đầu vùng chẩm,1,1,NONE,1,1,0,syn_052
Đi ngoài 5 lần/ngày,SYMPTOM,1,1,1,đi ngoài 5 lần/ngày,1,1,NONE,1,1,0,syn_040
Đi ngoài phân lỏng,SYMPTOM,1,1,1,đi ngoài phân lỏng,1,1,NONE,1,1,0,syn_034
Đái tháo đường týp 2,DISEASE,1,1,1,đái tháo đường týp 2,1,1,NONE,3,1,2,syn_072;syn_001;syn_004;syn_015
Động kinh,DISEASE,1,1,1,động kinh,1,1,NONE,5,2,3,syn_073;syn_027
Đờm trắng,SYMPTOM,1,1,1,đờm trắng,1,1,NONE,1,1,0,syn_053
đau,DISEASE,1,1,1,đau,1,1,NONE,4,4,0,syn_091;syn_078;syn_063;syn_067;syn_080;syn_089;syn_096;syn_014
Ợ chua,SYMPTOM,1,1,1,ợ chua,1,1,NONE,2,2,0,syn_087;syn_086
ợ nóng,SYMPTOM,1,1,1,ợ nóng,1,1,NONE,2,2,0,syn_023
