node_name,code,dict_name_vi,name_source,rename_risk,in_corpus,corpus_samples,pinned_by_test
Viêm khớp dạng thấp,M06.9,Viêm khớp dạng thấp,ALIAS_MAP giu nguyen (name_vi='Viêm khớp dạng thấp'),NEO BOI ALIAS,YES,syn_036;syn_083,NO
Viêm loét dạ dày,K29.7,Viêm dạ dày,ALIAS_MAP gap ve (name_vi='Viêm dạ dày' -> 'Viêm loét dạ dày'),NEO BOI ALIAS,YES,syn_003;syn_012;syn_087,YES
Viêm mũi dị ứng,J30.4,Viêm mũi dị ứng,name_vi CHAY THANG ('Viêm mũi dị ứng'),SE TU DOI TEN,YES,syn_035,NO
Viêm mũi họng cấp,J00,Viêm mũi họng cấp,name_vi CHAY THANG ('Viêm mũi họng cấp'),SE TU DOI TEN,YES,syn_084,NO
Viêm phế quản cấp,J20.9,Viêm phế quản cấp,ALIAS_MAP giu nguyen (name_vi='Viêm phế quản cấp'),NEO BOI ALIAS,YES,syn_006;syn_018,NO
Viêm phổi,J18.9,Viêm phổi,ALIAS_MAP giu nguyen (name_vi='Viêm phổi'),NEO BOI ALIAS,YES,syn_001;syn_046;syn_068,YES
Viêm ruột thừa cấp,K35.8,Viêm ruột thừa cấp,ALIAS_MAP giu nguyen (name_vi='Viêm ruột thừa cấp'),NEO BOI ALIAS,YES,syn_005;syn_069;syn_088;syn_092,NO
Viêm âm đạo do nấm,N76.0,Viêm âm đạo,ALIAS_MAP gap ve (name_vi='Viêm âm đạo' -> 'Viêm âm đạo do nấm'),NEO BOI ALIAS,YES,syn_028;syn_070,YES
Xơ vữa động mạch cảnh,,,"CORPUS (node chua link, khong co record)",AN TOAN,YES,syn_090;syn_093,NO
Đa nang buồng trứng,E28.2,Đa nang buồng trứng,ALIAS_MAP giu nguyen (name_vi='Đa nang buồng trứng'),NEO BOI ALIAS,YES,syn_050;syn_071,NO
Đau lưng dưới,M54.5,Đau lưng dưới,name_vi CHAY THANG ('Đau lưng dưới'),SE TU DOI TEN,NO,,NO
Đái tháo đường týp 2,E11,Đái tháo đường týp 2,ALIAS_MAP giu nguyen (name_vi='Đái tháo đường týp 2'),NEO BOI ALIAS,YES,syn_001;syn_072,YES
Động kinh,G40.9,Động kinh,ALIAS_MAP giu nguyen (name_vi='Động kinh'),NEO BOI ALIAS,YES,syn_027;syn_073,NO
