entity_name,entity_type,mapped_code,code_source,confidence
Cetirizine 10mg,DRUG,RXCUI:20610,RXNORM_LOCAL,1.0
Clotrimazole,DRUG,RXCUI:2525,RXNORM_LOCAL,1.0
Cyproterone acetate 2mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Depakine Chrono 500mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Diane-35,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Diclofenac,DRUG,RXCUI:3355,RXNORM_LOCAL,1.0
Digoxin 0.25mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Escitalopram 10mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Esomeprazole 40mg,DRUG,RXCUI:283742,RXNORM_LOCAL,1.0
Ethinylestradiol 0.03mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Ferrous sulfate,DRUG,RXCUI:4477,RXNORM_LOCAL,1.0
Fluconazole 150mg,DRUG,RXCUI:4492,RXNORM_LOCAL,1.0
Furosemide 40mg,DRUG,RXCUI:4815,RXNORM_LOCAL,1.0
Hydrocortisone,DRUG,RXCUI:5492,RXNAV_API,0.95
Hydrocortisone 10mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Ibuprofen,DRUG,RXCUI:5640,RXNORM_LOCAL,1.0
Isotretinoin 10mg,DRUG,RXCUI:6064,RXNORM_LOCAL,1.0
Levothyroxine 50mcg,DRUG,RXCUI:10582,RXNORM_LOCAL,1.0
Lisinopril 10mg,DRUG,RXCUI:6472,RXNORM_LOCAL,1.0
Loratadine,DRUG,RXCUI:28889,RXNAV_API,0.95
Meloxicam 15mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Meloxicam 7.5mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Metformin,DRUG,RXCUI:6809,RXNORM_LOCAL,1.0
Methimazole 5mg,DRUG,RXCUI:6876,RXNORM_LOCAL,1.0
Methotrexate 10mg/tuần,DRUG,RXCUI:6809,RXNORM_LOCAL,1.0
Omeprazole 20mg,DRUG,RXCUI:7052,RXNORM_LOCAL,1.0
Oresol,DRUG,RXCUI:7800,RXNORM_LOCAL,1.0
Paracetamol 500mg,DRUG,RXCUI:161,RXNORM_LOCAL,1.0
Prednisolone 5mg,DRUG,RXCUI:3498,RXNORM_LOCAL,1.0
Salbutamol,DRUG,RXCUI:86045,RXNORM_LOCAL,1.0
Salmeterol/Fluticasone 50/250 mcg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Sertraline 50mg,DRUG,RXCUI:36437,RXNORM_LOCAL,1.0
Sumatriptan 50mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Tamsulosin 0.4mg,DRUG,RXCUI:77492,RXNORM_LOCAL,1.0
Tenofovir 300mg,DRUG,RXCUI:284192,RXNORM_LOCAL,1.0
Tranexamic acid 500mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Trimebutin 200mg,DRUG,RXCUI-UNKNOWN,UNKNOWN,
Vitamin D3,DRUG,RXCUI:1244014,RXNAV_API,0.95
Warfarin 2.5mg,DRUG,RXCUI:11170,RXNORM_LOCAL,1.0
Corticoid,DRUG_GROUP,RXCUI:2828,RXNORM_LOCAL,1.0
thuốc giãn cơ trơn,DRUG_GROUP,RXCUI-UNKNOWN,UNKNOWN,
Buồn nôn,SYMPTOM,UNKNOWN,UNKNOWN,
Chiều cao cơ thể giảm,SYMPTOM,UNKNOWN,UNKNOWN,
Chóng mặt,SYMPTOM,UNKNOWN,UNKNOWN,
Chóng mặt kéo dài,SYMPTOM,UNKNOWN,UNKNOWN,
Chảy nước mũi nhiều,SYMPTOM,UNKNOWN,UNKNOWN,
Co cứng cơ cạnh sống thắt lưng,SYMPTOM,UNKNOWN,UNKNOWN,
Co giật toàn thể cứng - gi clon,SYMPTOM,UNKNOWN,UNKNOWN,
Cơn co giật,SYMPTOM,UNKNOWN,UNKNOWN,
Cơn đau thắt ngực,SYMPTOM,UNKNOWN,UNKNOWN,
Cứng khớp buổi sáng,SYMPTOM,UNKNOWN,UNKNOWN,
Cứng khớp buổi sáng kéo dài trên 1 giờ,SYMPTOM,UNKNOWN,UNKNOWN,
Da xanh xao,SYMPTOM,UNKNOWN,UNKNOWN,
Ho khan,SYMPTOM,UNKNOWN,UNKNOWN,
Ho khan kéo dài,SYMPTOM,UNKNOWN,UNKNOWN,
Ho khạc đờm mủ,SYMPTOM,UNKNOWN,UNKNOWN,
Ho khạc đờm nhầy mạn tính,SYMPTOM,UNKNOWN,UNKNOWN,
Hoa mắt,SYMPTOM,UNKNOWN,UNKNOWN,
Hạn chế tầm vận động khớp,SYMPTOM,UNKNOWN,UNKNOWN,
Hạn chế vận động cột sống,SYMPTOM,UNKNOWN,UNKNOWN,
Hạn chế vận động rõ rệt khi cúi người,SYMPTOM,UNKNOWN,UNKNOWN,
Hắt hơi,SYMPTOM,UNKNOWN,UNKNOWN,
Hồi hộp,SYMPTOM,UNKNOWN,UNKNOWN,
Hồi hộp đánh trống ngực,SYMPTOM,UNKNOWN,UNKNOWN,
Khát nước liên tục,SYMPTOM,UNKNOWN,UNKNOWN,
Khó nói,SYMPTOM,UNKNOWN,UNKNOWN,
Khó thở khi gắng sức,SYMPTOM,UNKNOWN,UNKNOWN,
Khó thở rít,SYMPTOM,UNKNOWN,UNKNOWN,
Khó tập trung công việc,SYMPTOM,UNKNOWN,UNKNOWN,
Liệt nhẹ nửa người trái,SYMPTOM,UNKNOWN,UNKNOWN,
Liệt nửa người bên phải,SYMPTOM,UNKNOWN,UNKNOWN,
Lo lắng quá mức,SYMPTOM,UNKNOWN,UNKNOWN,
Méo miệng,SYMPTOM,UNKNOWN,UNKNOWN,
Mảng đỏ,SYMPTOM,UNKNOWN,UNKNOWN,
Mất ý thức đột ngột,SYMPTOM,UNKNOWN,UNKNOWN,
Mệt mỏi,SYMPTOM,UNKNOWN,UNKNOWN,
Mệt mỏi kéo dài,SYMPTOM,UNKNOWN,UNKNOWN,
Nghẹt mũi,SYMPTOM,UNKNOWN,UNKNOWN,
Ngứa,SYMPTOM,UNKNOWN,UNKNOWN,
Ngứa rát vùng kín,SYMPTOM,UNKNOWN,UNKNOWN,
Nhân trứng cá đầu đen,SYMPTOM,UNKNOWN,UNKNOWN,
Nuốt khó,SYMPTOM,UNKNOWN,UNKNOWN,
Nóng rát sau xương ức,SYMPTOM,UNKNOWN,UNKNOWN,
Phù chi dưới,SYMPTOM,UNKNOWN,UNKNOWN,
Phù hai chi dưới,SYMPTOM,UNKNOWN,UNKNOWN,
Ra khí hư đặc dính màu trắng đục như váng sữa,SYMPTOM,UNKNOWN,UNKNOWN,
Rong kinh,SYMPTOM,UNKNOWN,UNKNOWN,
Run tay,SYMPTOM,UNKNOWN,UNKNOWN,
Rậm lông mặt,SYMPTOM,UNKNOWN,UNKNOWN,
Rối loạn kinh nguyệt,SYMPTOM,UNKNOWN,UNKNOWN,
Sưng đau các khớp bàn tay đối xứng,SYMPTOM,UNKNOWN,UNKNOWN,
Sẩn đỏ viêm,SYMPTOM,UNKNOWN,UNKNOWN,
Sốt cao,SYMPTOM,UNKNOWN,UNKNOWN,
Sốt nhẹ,SYMPTOM,UNKNOWN,UNKNOWN,
Sợ lạnh,SYMPTOM,UNKNOWN,UNKNOWN,
Sụt cân,SYMPTOM,UNKNOWN,UNKNOWN,
Sụt cân nhanh,SYMPTOM,UNKNOWN,UNKNOWN,
Sủi bọt mép,SYMPTOM,UNKNOWN,UNKNOWN,
Tiêu chảy,SYMPTOM,UNKNOWN,UNKNOWN,
Tiêu chảy cấp,SYMPTOM,UNKNOWN,UNKNOWN,
Tiểu buốt,SYMPTOM,UNKNOWN,UNKNOWN,
Tiểu khó,SYMPTOM,UNKNOWN,UNKNOWN,
Tiểu máu vi thể,SYMPTOM,UNKNOWN,UNKNOWN,
Tiểu ngắt quãng,SYMPTOM,UNKNOWN,UNKNOWN,
Tiểu rắt,SYMPTOM,UNKNOWN,UNKNOWN,
Tiểu đêm,SYMPTOM,UNKNOWN,UNKNOWN,
Táo bón,SYMPTOM,UNKNOWN,UNKNOWN,
Tê bì cẳng chân,SYMPTOM,UNKNOWN,UNKNOWN,
Tê bì hai chi dưới,SYMPTOM,UNKNOWN,UNKNOWN,
Tê yếu nửa người thoáng qua,SYMPTOM,UNKNOWN,UNKNOWN,
Tổn thương da dạng vành cung có bờ viền rõ,SYMPTOM,UNKNOWN,UNKNOWN,
Viêm ngứa,SYMPTOM,UNKNOWN,UNKNOWN,
Vàng da,SYMPTOM,UNKNOWN,UNKNOWN,
Vòng kinh kéo dài,SYMPTOM,UNKNOWN,UNKNOWN,
ho,SYMPTOM,UNKNOWN,UNKNOWN,
sốt,SYMPTOM,UNKNOWN,UNKNOWN,
Đau bụng,SYMPTOM,UNKNOWN,UNKNOWN,
Đau bụng vùng hố chậu phải,SYMPTOM,UNKNOWN,UNKNOWN,
Đau dữ dội,SYMPTOM,UNKNOWN,UNKNOWN,
Đau họng,SYMPTOM,UNKNOWN,UNKNOWN,
Đau khớp,SYMPTOM,UNKNOWN,UNKNOWN,
Đau nhói khớp vai khi giơ tay lên cao,SYMPTOM,UNKNOWN,UNKNOWN,
Đau nhói vùng cột sống,SYMPTOM,UNKNOWN,UNKNOWN,
Đau nhói vùng thắt lưng,SYMPTOM,UNKNOWN,UNKNOWN,
Đau nhức âm ỉ vùng cột sống thắt lưng,SYMPTOM,UNKNOWN,UNKNOWN,
Đau quặn bụng,SYMPTOM,UNKNOWN,UNKNOWN,
Đau quặn bụng vùng quanh rốn,SYMPTOM,UNKNOWN,UNKNOWN,
Đau quặn hố chậu phải,SYMPTOM,UNKNOWN,UNKNOWN,
Đau quặn thận bên phải,SYMPTOM,UNKNOWN,UNKNOWN,
Đau quặn thận trái,SYMPTOM,UNKNOWN,UNKNOWN,
Đau rát họng,SYMPTOM,UNKNOWN,UNKNOWN,
Đau thượng vị,SYMPTOM,UNKNOWN,UNKNOWN,
Đau thần kinh tọa,SYMPTOM,UNKNOWN,UNKNOWN,
Đau thắt lưng,SYMPTOM,UNKNOWN,UNKNOWN,
Đau tăng khi vận động,SYMPTOM,UNKNOWN,UNKNOWN,
Đau tức hạ vị,SYMPTOM,UNKNOWN,UNKNOWN,
Đau tức ngực âm ỉ,SYMPTOM,UNKNOWN,UNKNOWN,
Đau âm ỉ vùng hố chậu phải,SYMPTOM,UNKNOWN,UNKNOWN,
Đau đầu,SYMPTOM,UNKNOWN,UNKNOWN,
Đau đầu dữ dội theo mạch đập ở một bên thái dương,SYMPTOM,UNKNOWN,UNKNOWN,
Đau đầu vùng chẩm,SYMPTOM,UNKNOWN,UNKNOWN,
Đi ngoài 5 lần/ngày,SYMPTOM,UNKNOWN,UNKNOWN,
Đi ngoài phân lỏng,SYMPTOM,UNKNOWN,UNKNOWN,
Đờm trắng,SYMPTOM,UNKNOWN,UNKNOWN,
Ợ chua,SYMPTOM,UNKNOWN,UNKNOWN,
ợ nóng,SYMPTOM,UNKNOWN,UNKNOWN,
