label,name,code
SYMPTOM,Run tay,UNKNOWN
SYMPTOM,Rậm lông mặt,UNKNOWN
SYMPTOM,Rối loạn kinh nguyệt,UNKNOWN
SYMPTOM,Sưng đau các khớp bàn tay đối xứng,UNKNOWN
SYMPTOM,Sẩn đỏ viêm,UNKNOWN
SYMPTOM,Sốt cao,UNKNOWN
SYMPTOM,Sốt nhẹ,UNKNOWN
SYMPTOM,Sợ lạnh,UNKNOWN
SYMPTOM,Sụt cân,UNKNOWN
SYMPTOM,Sụt cân nhanh,UNKNOWN
SYMPTOM,Sủi bọt mép,UNKNOWN
SYMPTOM,Tiêu chảy,UNKNOWN
SYMPTOM,Tiêu chảy cấp,UNKNOWN
SYMPTOM,Tiểu buốt,UNKNOWN
SYMPTOM,Tiểu khó,UNKNOWN
SYMPTOM,Tiểu máu vi thể,UNKNOWN
SYMPTOM,Tiểu ngắt quãng,UNKNOWN
SYMPTOM,Tiểu rắt,UNKNOWN
SYMPTOM,Tiểu đêm,UNKNOWN
SYMPTOM,Táo bón,UNKNOWN
SYMPTOM,Tê bì cẳng chân,UNKNOWN
SYMPTOM,Tê bì hai chi dưới,UNKNOWN
SYMPTOM,Tê yếu nửa người thoáng qua,UNKNOWN
SYMPTOM,Tổn thương da dạng vành cung có bờ viền rõ,UNKNOWN
SYMPTOM,Viêm ngứa,UNKNOWN
SYMPTOM,Vàng da,UNKNOWN
SYMPTOM,Vòng kinh kéo dài,UNKNOWN
SYMPTOM,ho,UNKNOWN
SYMPTOM,sốt,UNKNOWN
SYMPTOM,Đau bụng,UNKNOWN
SYMPTOM,Đau bụng vùng hố chậu phải,UNKNOWN
SYMPTOM,Đau dữ dội,UNKNOWN
SYMPTOM,Đau họng,UNKNOWN
SYMPTOM,Đau khớp,UNKNOWN
SYMPTOM,Đau nhói khớp vai khi giơ tay lên cao,UNKNOWN
SYMPTOM,Đau nhói vùng cột sống,UNKNOWN
SYMPTOM,Đau nhói vùng thắt lưng,UNKNOWN
SYMPTOM,Đau nhức âm ỉ vùng cột sống thắt lưng,UNKNOWN
SYMPTOM,Đau quặn bụng,UNKNOWN
SYMPTOM,Đau quặn bụng vùng quanh rốn,UNKNOWN
SYMPTOM,Đau quặn hố chậu phải,UNKNOWN
SYMPTOM,Đau quặn thận bên phải,UNKNOWN
SYMPTOM,Đau quặn thận trái,UNKNOWN
SYMPTOM,Đau rát họng,UNKNOWN
SYMPTOM,Đau thượng vị,UNKNOWN
SYMPTOM,Đau thần kinh tọa,UNKNOWN
SYMPTOM,Đau thắt lưng,UNKNOWN
SYMPTOM,Đau tăng khi vận động,UNKNOWN
SYMPTOM,Đau tức hạ vị,UNKNOWN
SYMPTOM,Đau tức ngực âm ỉ,UNKNOWN
SYMPTOM,Đau âm ỉ vùng hố chậu phải,UNKNOWN
SYMPTOM,Đau đầu,UNKNOWN
SYMPTOM,Đau đầu dữ dội theo mạch đập ở một bên thái dương,UNKNOWN
SYMPTOM,Đau đầu vùng chẩm,UNKNOWN
SYMPTOM,Đi ngoài 5 lần/ngày,UNKNOWN
SYMPTOM,Đi ngoài phân lỏng,UNKNOWN
SYMPTOM,Đờm trắng,UNKNOWN
SYMPTOM,Ợ chua,UNKNOWN
SYMPTOM,ợ nóng,UNKNOWN
