icd_code,name_vi,removed_synonym,classification,verdict,approval,medical_reason
J02.9,Viêm họng,viêm họng hạt,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Viêm họng hạt là viêm họng MẠN thể hạt (J31.2), không dùng kháng sinh; khác thực thể cấp J02.9"
J30.4,Viêm mũi dị ứng,dị ứng thời tiết,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Cụm từ dân gian bao cả biểu hiện da (mề đay L50, chàm) lẫn hô hấp; ép riêng về viêm mũi dị ứng là thu hẹp"
A09,Viêm dạ dày ruột nhiễm khuẩn,rối loạn tiêu hóa,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Cụm từ ô rất rộng trong tiếng Việt (đầy bụng, khó tiêu, IBS, táo bón); quy về viêm dạ dày ruột nhiễm khuẩn là gán nguyên nhân"
M19.9,Thoái hóa khớp,thoái hóa cột sống,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Thoái hóa cột sống là spondylosis M47 - thực thể riêng ở cột sống, không phải thoái hóa khớp ngoại vi"
M19.9,Thoái hóa khớp,đau khớp mạn tính,SYMPTOM_AS_DISEASE,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Đau khớp mạn là TRIỆU CHỨNG: còn do viêm khớp dạng thấp, gút, lupus, viêm khớp vảy nến, đau xơ cơ"
F41.1,Rối loạn lo âu lan tỏa,lo âu mạn tính,SYMPTOM_AS_DISEASE,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Lo âu là TRIỆU CHỨNG cảm xúc; lo âu kéo dài đơn thuần chưa đủ tiêu chuẩn GAD và còn gặp trong trầm cảm, PTSD, lạm dụng chất"
E05.9,Cường giáp,Basedow,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Basedow/Graves là MỘT nguyên nhân tự miễn của cường giáp, có mã riêng E05.0; cường giáp còn do bướu nhân độc, viêm giáp, amiodarone"
N20.0,Sỏi thận,sỏi đường tiết niệu,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),Sỏi tiết niệu là nhóm gồm sỏi niệu quản (N20.1) và sỏi bàng quang (N21.0); thu hẹp về sỏi thận bỏ sót thể tắc nghẽn cấp
N20.0,Sỏi thận,sỏi niệu quản,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Sỏi niệu quản là N20.1 - thực thể riêng gây cơn đau quặn thận và tắc nghẽn, có thể cần can thiệp cấp"
K80.2,Sỏi túi mật,sỏi mật,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"'Sỏi mật' bao cả sỏi ống mật chủ (K80.5) gây vàng da, nhiễm trùng đường mật, viêm tụy; thu hẹp về sỏi túi mật bỏ sót thể nguy hiểm"
A15.0,Lao phổi,bệnh lao,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Lao là nhóm bệnh gồm lao ngoài phổi: lao màng não (A17), lao cột sống (A18.0), lao hạch (A18.2), lao kê (A19); thu hẹp về lao phổi rất nguy hiểm"
A15.0,Lao phổi,lao phế quản,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Lao nội phế quản là A15.5 - thể riêng của lao đường hô hấp, không đồng nhất với lao nhu mô phổi A15.0"
L20.9,Viêm da cơ địa,eczema,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Eczema là thuật ngữ ô của cả khối L20-L30 gồm viêm da tiếp xúc (L23/L24), chàm đồng tiền, tổ đỉa - xử trí khác (tránh dị nguyên)"
N76.0,Viêm âm đạo,nhiễm nấm âm đạo,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),Cùng vấn đề: nhiễm nấm âm đạo (B37.3) chỉ là một căn nguyên của viêm âm đạo
B35.9,Nấm da,nấm bẹn,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Nấm bẹn (tinea cruris) là B35.6 - MỘT vị trí; nấm da còn có nấm chân B35.3, nấm da đầu B35.0"
D69.3,Xuất huyết giảm tiểu cầu vô căn,giảm tiểu cầu,SYMPTOM_AS_DISEASE,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Giảm tiểu cầu là KẾT QUẢ XÉT NGHIỆM: ở Việt Nam nguyên nhân hàng đầu là sốt xuất huyết Dengue, ngoài ra nhiễm khuẩn huyết, thuốc, xơ gan, lơ xê mi, TTP"
I48.9,Rung nhĩ,loạn nhịp tim,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Loạn nhịp tim là NHÓM (nhịp nhanh thất, block, nhịp nhanh trên thất, ngoại tâm thu); rung nhĩ chỉ là một thành viên - đúng ví dụ rule 1 đã bị bác"
M75.2,Viêm gân vai,viêm quanh khớp vai,CATEGORY_NARROWING,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Viêm quanh khớp vai là cụm hội chứng rộng gồm đông cứng khớp vai (M75.0), rách chóp xoay (M75.1); viêm gân nhị đầu M75.2 chỉ là một thể"
M75.2,Viêm gân vai,đau vai,SYMPTOM_AS_DISEASE,SAFE_TO_REMOVE,SAFE_TO_REMOVE (linking khong doi / khong xuat hien trong corpus),"Đau vai là TRIỆU CHỨNG: còn do bệnh lý rễ cổ, chóp xoay, và đau lan từ cơ hoành/túi mật/NMCT"
