icd_code,name_vi,synonym,classification,reason,violates_rule
J20.9,Viêm phế quản cấp,viêm phế quản,CATEGORY_NARROWING,'Viêm phế quản' không định tính bao cả viêm phế quản mạn (J42) và COPD (J44); ép về thể cấp là thu hẹp nhóm và cam kết tính cấp,YES
J20.9,Viêm phế quản cấp,viêm phế quản cấp tính,OTHER,'cấp tính' = 'cấp'; biến thể từ ngữ của chính name_vi,NO
K35.8,Viêm ruột thừa cấp,viêm ruột thừa,TRUE_SYNONYM,Viêm ruột thừa không định tính trên lâm sàng luôn là thể cấp; viêm ruột thừa mạn là thực thể gây tranh cãi và hiếm,NO
K35.8,Viêm ruột thừa cấp,viêm ruột thừa cấp tính,OTHER,'cấp tính' = 'cấp'; biến thể từ ngữ,NO
I50.9,Suy tim sung huyết,suy tim,TRUE_SYNONYM,I50.9 là 'suy tim không đặc hiệu'; 'sung huyết' là mô tả bệnh cảnh chứ không phải thực thể khác,NO
I50.9,Suy tim sung huyết,suy tim sung huyết mạn,OTHER,"Thêm định tính mạn tính, vẫn cùng mã I50.9",NO
M51.2,Thoát vị đĩa đệm cột sống thắt lưng,thoát vị đĩa đệm,CATEGORY_NARROWING,Thoát vị đĩa đệm có thể ở cổ (M50.2) hay ngực; ép về thắt lưng là thu hẹp nhóm về một vị trí,YES
M51.2,Thoát vị đĩa đệm cột sống thắt lưng,thoát vị đĩa đệm cột sống thắt lưng,OTHER,Trùng lặp y hệt name_vi; entry thừa (rule 4),NO
M54.3,Đau thần kinh tọa,đau thần kinh tọa,OTHER,Trùng lặp y hệt name_vi; entry thừa (rule 4),NO
M54.3,Đau thần kinh tọa,đau dây thần kinh tọa,OTHER,Biến thể từ ngữ (thêm 'dây') của cùng một thuật ngữ,NO
E78.5,Rối loạn lipid máu,mỡ máu cao,TRUE_SYNONYM,Tên dân gian của rối loạn lipid máu; đã được phê duyệt trong canonical map,NO
E78.5,Rối loạn lipid máu,tăng lipid máu,TRUE_SYNONYM,E78.5 chính là hyperlipidaemia không đặc hiệu; cùng khái niệm,NO
E78.5,Rối loạn lipid máu,rối loạn chuyển hóa lipid,TRUE_SYNONYM,Cùng khái niệm rối loạn chuyển hóa lipid máu; E78.5 là mã catch-all của khối E78,NO
E78.5,Rối loạn lipid máu,tăng cholesterol máu,CATEGORY_NARROWING,"Tăng cholesterol đơn thuần là E78.0, một thành viên; rối loạn lipid máu còn gồm tăng triglyceride, giảm HDL, thể hỗn hợp",YES
E78.5,Rối loạn lipid máu,rối loạn lipid máu,OTHER,Trùng lặp y hệt name_vi; entry thừa (rule 4),NO
H36.0,Biến chứng võng mạc,bệnh võng mạc đái tháo đường,CATEGORY_NARROWING,"H36.0 đúng ra chính là bệnh võng mạc ĐTĐ, còn name_vi 'biến chứng võng mạc' là nhóm rộng (còn gồm võng mạc do THA, bong võng mạc); hai vế lệch mức đặc hiệu",YES
H36.0,Biến chứng võng mạc,biến chứng võng mạc,OTHER,Trùng lặp y hệt name_vi; entry thừa (rule 4),NO
J45,Hen phế quản,bệnh hen,TRUE_SYNONYM,Cùng khái niệm hen phế quản,NO
J45,Hen phế quản,hen suyễn,TRUE_SYNONYM,Tên thông dụng của hen phế quản; cùng khái niệm,NO
J45,Hen phế quản,hen phế quản mạn,OTHER,"Hen vốn là bệnh mạn tính; 'mạn' là định tính thừa, vẫn cùng mã J45",NO
J44,Bệnh phổi tắc nghẽn mạn tính,COPD,OTHER,Viết tắt tiếng Anh của chính name_vi,NO
J44,Bệnh phổi tắc nghẽn mạn tính,tắc nghẽn phổi mạn tính,OTHER,Biến thể trật tự từ của tên chính thức COPD,NO
K29.7,Viêm dạ dày,viêm dạ dày cấp,OTHER,Định tính cấp tính của cùng một bệnh; hướng đi từ hẹp về rộng nên không gán chẩn đoán mới,NO
K29.7,Viêm dạ dày,đau dạ dày,SYMPTOM_AS_DISEASE,"Đau thượng vị là TRIỆU CHỨNG, không phải chẩn đoán: có thể do viêm dạ dày, GERD, sỏi mật, tụy, thậm chí NMCT thành dưới",YES
K29.7,Viêm dạ dày,viêm loét dạ dày,CATEGORY_NARROWING,"Loét là tổn thương mất niêm mạc, thực thể riêng (K25 cũng có trong chính từ điển này) với nguy cơ chảy máu/thủng và phác đồ khác viêm dạ dày đơn thuần",YES
K29.7,Viêm dạ dày,viêm hang vị dạ dày,OTHER,Biến thể đặc hiệu theo vị trí giải phẫu của cùng bệnh viêm dạ dày,NO
K25,Loét dạ dày,loét dạ dày tá tràng,CATEGORY_NARROWING,"Loét dạ dày-tá tràng là nhóm gồm loét tá tràng (K26, thực tế còn hay gặp hơn); ép về K25 bỏ mất vị trí tá tràng",YES
K25,Loét dạ dày,loét hang vị dạ dày,OTHER,"Loét hang vị là loét dạ dày theo vị trí, vẫn thuộc K25",NO
K21.9,Trào ngược dạ dày thực quản,GERD,OTHER,Viết tắt tiếng Anh của trào ngược dạ dày thực quản,NO
K21.9,Trào ngược dạ dày thực quản,trào ngược dạ dày,TRUE_SYNONYM,Dạng nói rút gọn thông dụng của cùng khái niệm,NO
K21.9,Trào ngược dạ dày thực quản,trào ngược thực quản,TRUE_SYNONYM,Dạng nói rút gọn thông dụng của cùng khái niệm,NO
N39.0,Nhiễm trùng đường tiết niệu,nhiễm trùng tiểu,TRUE_SYNONYM,Cách nói thông dụng của nhiễm trùng đường tiết niệu,NO
N39.0,Nhiễm trùng đường tiết niệu,nhiễm khuẩn tiết niệu,TRUE_SYNONYM,'nhiễm khuẩn' = 'nhiễm trùng'; cùng khái niệm,NO
N39.0,Nhiễm trùng đường tiết niệu,nhiễm khuẩn đường tiết niệu,TRUE_SYNONYM,Biến thể từ vựng nhiễm trùng/nhiễm khuẩn của chính name_vi,NO
N39.0,Nhiễm trùng đường tiết niệu,viêm đường tiết niệu,TRUE_SYNONYM,Trong thực hành tiếng Việt dùng thay thế được cho nhiễm trùng tiết niệu; cùng mức cam kết,NO
I20,Cơn đau thắt ngực,đau thắt ngực,TRUE_SYNONYM,'Đau thắt ngực' là thuật ngữ chuẩn cho angina (khác 'đau ngực' chung chung); cùng khái niệm,NO
I20,Cơn đau thắt ngực,đau ngực do thiếu máu cục bộ,TRUE_SYNONYM,Định nghĩa mô tả của cơn đau thắt ngực; cùng khái niệm,NO
I20,Cơn đau thắt ngực,cơn đau thắt ngực cấp tính,OTHER,Định tính về tính cấp; đau thắt ngực không ổn định vẫn nằm trong khối I20,NO
I21,Nhồi máu cơ tim cấp,nhồi máu cơ tim,TRUE_SYNONYM,NMCT không định tính trên lâm sàng là NMCT cấp; cùng khái niệm,NO
I21,Nhồi máu cơ tim cấp,đột quỵ tim,CATEGORY_NARROWING,"Từ báo chí mơ hồ, được dùng cho cả ngừng tim đột ngột/đột tử tim lẫn NMCT; ép về I21 là cam kết quá mức vào một chẩn đoán cấp cứu (rule 3)",YES
I63,Nhồi máu não,đột quỵ não,CATEGORY_NARROWING,"Đột quỵ là nhóm gồm cả xuất huyết não (I61) ~15-20% ca, xử trí ngược nhau (tiêu sợi huyết vs đảo đông); thu hẹp về nhồi máu là nguy hiểm",YES
I63,Nhồi máu não,tai biến mạch máu não,CATEGORY_NARROWING,TBMMN bao gồm cả thể xuất huyết (I60/I61); không đồng nhất với nhồi máu não,YES
I63,Nhồi máu não,thiếu máu não cục bộ,CATEGORY_NARROWING,Bao gồm cả cơn thiếu máu não thoáng qua (G45) vốn không có nhồi máu; ép về I63 là cam kết quá mức,YES
J00,Viêm mũi họng cấp,cảm lạnh,TRUE_SYNONYM,J00 viêm mũi họng cấp chính là cảm lạnh thông thường; cùng khái niệm,NO
J00,Viêm mũi họng cấp,viêm họng cấp,CATEGORY_NARROWING,"Viêm họng cấp là J02 - thực thể riêng, có thể do liên cầu cần kháng sinh; đồng nhất với viêm mũi họng do virus gây xung đột với chính entry J02.9 trong từ điển",YES
J00,Viêm mũi họng cấp,nhiễm siêu vi hô hấp,CATEGORY_NARROWING,"Nhóm rất rộng (cúm, COVID, RSV, viêm tiểu phế quản, viêm phổi virus); thu hẹp về cảm lạnh thông thường là gán chẩn đoán",YES
J02.9,Viêm họng,đau họng,SYMPTOM_AS_DISEASE,"Đau họng là TRIỆU CHỨNG: có thể do viêm họng, viêm amidan, trào ngược, viêm nắp thanh môn, áp xe thành sau họng, viêm giáp",YES
J02.9,Viêm họng,viêm họng hạt,CATEGORY_NARROWING,"Viêm họng hạt là viêm họng MẠN thể hạt (J31.2), không dùng kháng sinh; khác thực thể cấp J02.9",YES
J03.9,Viêm amiđan,viêm amidan,OTHER,Biến thể chính tả amiđan/amidan,NO
J03.9,Viêm amiđan,viêm amidan cấp,TRUE_SYNONYM,J03.9 chính là viêm amidan cấp không đặc hiệu; cùng khái niệm,NO
J30.4,Viêm mũi dị ứng,dị ứng thời tiết,CATEGORY_NARROWING,"Cụm từ dân gian bao cả biểu hiện da (mề đay L50, chàm) lẫn hô hấp; ép riêng về viêm mũi dị ứng là thu hẹp",YES
J30.4,Viêm mũi dị ứng,viêm mũi dị ứng mạn,OTHER,"Định tính mạn tính, vẫn cùng mã J30.4",NO
A09,Viêm dạ dày ruột nhiễm khuẩn,tiêu chảy cấp,SYMPTOM_AS_DISEASE,"Tiêu chảy cấp là TRIỆU CHỨNG: còn do virus, thẩm thấu, thuốc, kháng sinh/C.difficile, cường giáp, IBS; name_vi cam kết nguyên nhân nhiễm khuẩn",YES
A09,Viêm dạ dày ruột nhiễm khuẩn,nhiễm trùng tiêu hóa,TRUE_SYNONYM,Đồng nghĩa thực hành với viêm dạ dày ruột nhiễm khuẩn; cùng mức cam kết,NO
A09,Viêm dạ dày ruột nhiễm khuẩn,rối loạn tiêu hóa,CATEGORY_NARROWING,"Cụm từ ô rất rộng trong tiếng Việt (đầy bụng, khó tiêu, IBS, táo bón); quy về viêm dạ dày ruột nhiễm khuẩn là gán nguyên nhân",YES
B18.2,Viêm gan vi-rút C mạn,viêm gan C,OTHER,"Bỏ định tính 'mạn'; trên thực tế gần như toàn bộ ca HCV được chẩn đoán là thể mạn, viêm gan C cấp (B17.1) hiếm khi được phát hiện",NO
B18.2,Viêm gan vi-rút C mạn,viêm gan vi rút C,OTHER,Biến thể chính tả vi-rút/vi rút,NO
B18.1,Viêm gan vi-rút B mạn,viêm gan B,OTHER,Bỏ định tính 'mạn'; ở vùng dịch tễ Việt Nam 'viêm gan B' trên thực hành là nhiễm HBV mạn,NO
B18.1,Viêm gan vi-rút B mạn,viêm gan B mãn tính,TRUE_SYNONYM,'mãn tính' = 'mạn'; cùng khái niệm viêm gan B mạn,NO
B18.1,Viêm gan vi-rút B mạn,viêm gan siêu vi B,TRUE_SYNONYM,'siêu vi' = 'vi-rút' (cách dùng miền Nam); cùng khái niệm,NO
K76.0,Gan nhiễm mỡ,thoái hóa mỡ ở gan,TRUE_SYNONYM,Thuật ngữ giải phẫu bệnh của gan nhiễm mỡ; cùng khái niệm,NO
K76.0,Gan nhiễm mỡ,gan nhiễm mỡ không do rượu,OTHER,Biến thể đặc hiệu theo nguyên nhân; K76.0 vốn đã loại trừ gan nhiễm mỡ do rượu (K70.0) nên vẫn đúng mã,NO
M10.9,Bệnh Gút,gút,OTHER,Biến thể viết hoa/thường của chính name_vi,NO
M10.9,Bệnh Gút,gout,OTHER,Tên tiếng Anh của bệnh gút,NO
M10.9,Bệnh Gút,bệnh gút cấp,OTHER,Đợt cấp của cùng một bệnh; M10.9 gút không đặc hiệu bao gồm cơn cấp,NO
M10.9,Bệnh Gút,viêm khớp gút,TRUE_SYNONYM,"Biểu hiện khớp của bệnh gút, cùng mã M10.9; cùng khái niệm",NO
M19.9,Thoái hóa khớp,thoái hóa khớp gối,CATEGORY_NARROWING,Thoái hóa khớp gối có mã riêng M17 và là MỘT vị trí khớp; name_vi là thoái hóa khớp không đặc hiệu vị trí,YES
M19.9,Thoái hóa khớp,thoái hóa cột sống,CATEGORY_NARROWING,"Thoái hóa cột sống là spondylosis M47 - thực thể riêng ở cột sống, không phải thoái hóa khớp ngoại vi",YES
M19.9,Thoái hóa khớp,đau khớp mạn tính,SYMPTOM_AS_DISEASE,"Đau khớp mạn là TRIỆU CHỨNG: còn do viêm khớp dạng thấp, gút, lupus, viêm khớp vảy nến, đau xơ cơ",YES
M06.9,Viêm khớp dạng thấp,viêm đa khớp dạng thấp,TRUE_SYNONYM,Tên gọi cũ/đầy đủ của cùng bệnh viêm khớp dạng thấp,NO
M54.5,Đau lưng dưới,đau thắt lưng,TRUE_SYNONYM,Cùng khái niệm đau vùng thắt lưng; M54.5 vốn là mã triệu chứng,NO
M54.5,Đau lưng dưới,đau cột sống thắt lưng,TRUE_SYNONYM,Biến thể từ ngữ của cùng khái niệm đau lưng dưới,NO
G43.9,Bệnh Migraine,đau đầu migraine,TRUE_SYNONYM,Cùng khái niệm migraine,NO
G43.9,Bệnh Migraine,đau nửa đầu,TRUE_SYNONYM,Tên tiếng Việt quy ước của migraine; còn dư lượng mơ hồ với đau đầu cụm (G44.0) nhưng là chuẩn dùng,NO
G40.9,Động kinh,bệnh động kinh,TRUE_SYNONYM,Chỉ thêm tiền tố 'bệnh'; cùng khái niệm,NO
G40.9,Động kinh,cơn co giật,SYMPTOM_AS_DISEASE,"Co giật là TRIỆU CHỨNG/biến cố (R56): động kinh đòi hỏi co giật tái diễn không do kích gợi; co giật còn do sốt cao, hạ đường huyết, sản giật, ngất, cai rượu, co giật tâm lý",YES
F32.9,Rối loạn trầm cảm,trầm cảm,TRUE_SYNONYM,Cùng khái niệm rối loạn trầm cảm,NO
F32.9,Rối loạn trầm cảm,bệnh trầm cảm,TRUE_SYNONYM,Chỉ thêm tiền tố 'bệnh'; cùng khái niệm,NO
F41.1,Rối loạn lo âu lan tỏa,rối loạn lo âu,CATEGORY_NARROWING,"Rối loạn lo âu là NHÓM (hoảng sợ F41.0, ám ảnh sợ F40, hỗn hợp lo âu-trầm cảm F41.2); lo âu lan tỏa chỉ là một thành viên",YES
F41.1,Rối loạn lo âu lan tỏa,lo âu mạn tính,SYMPTOM_AS_DISEASE,"Lo âu là TRIỆU CHỨNG cảm xúc; lo âu kéo dài đơn thuần chưa đủ tiêu chuẩn GAD và còn gặp trong trầm cảm, PTSD, lạm dụng chất",YES
E03.9,Suy giáp,suy tuyến giáp,TRUE_SYNONYM,Cùng khái niệm suy giáp,NO
E03.9,Suy giáp,bệnh suy giáp,TRUE_SYNONYM,Chỉ thêm tiền tố 'bệnh'; cùng khái niệm,NO
E05.9,Cường giáp,cường tuyến giáp,TRUE_SYNONYM,Cùng khái niệm cường giáp,NO
E05.9,Cường giáp,bệnh cường giáp,TRUE_SYNONYM,Chỉ thêm tiền tố 'bệnh'; cùng khái niệm,NO
E05.9,Cường giáp,Basedow,CATEGORY_NARROWING,"Basedow/Graves là MỘT nguyên nhân tự miễn của cường giáp, có mã riêng E05.0; cường giáp còn do bướu nhân độc, viêm giáp, amiodarone",YES
N20.0,Sỏi thận,sỏi đường tiết niệu,CATEGORY_NARROWING,Sỏi tiết niệu là nhóm gồm sỏi niệu quản (N20.1) và sỏi bàng quang (N21.0); thu hẹp về sỏi thận bỏ sót thể tắc nghẽn cấp,YES
N20.0,Sỏi thận,sỏi niệu quản,CATEGORY_NARROWING,"Sỏi niệu quản là N20.1 - thực thể riêng gây cơn đau quặn thận và tắc nghẽn, có thể cần can thiệp cấp",YES
K80.2,Sỏi túi mật,sỏi mật,CATEGORY_NARROWING,"'Sỏi mật' bao cả sỏi ống mật chủ (K80.5) gây vàng da, nhiễm trùng đường mật, viêm tụy; thu hẹp về sỏi túi mật bỏ sót thể nguy hiểm",YES
A15.0,Lao phổi,bệnh lao,CATEGORY_NARROWING,"Lao là nhóm bệnh gồm lao ngoài phổi: lao màng não (A17), lao cột sống (A18.0), lao hạch (A18.2), lao kê (A19); thu hẹp về lao phổi rất nguy hiểm",YES
A15.0,Lao phổi,lao phế quản,CATEGORY_NARROWING,"Lao nội phế quản là A15.5 - thể riêng của lao đường hô hấp, không đồng nhất với lao nhu mô phổi A15.0",YES
L20.9,Viêm da cơ địa,chàm cơ địa,TRUE_SYNONYM,'Chàm cơ địa' = 'viêm da cơ địa'; cùng khái niệm,NO
L20.9,Viêm da cơ địa,eczema,CATEGORY_NARROWING,"Eczema là thuật ngữ ô của cả khối L20-L30 gồm viêm da tiếp xúc (L23/L24), chàm đồng tiền, tổ đỉa - xử trí khác (tránh dị nguyên)",YES
L70.0,Mụn trứng cá,mụn trứng cá thông thường,TRUE_SYNONYM,L70.0 chính là acne vulgaris - mụn trứng cá thông thường; cùng khái niệm,NO
L70.0,Mụn trứng cá,mụn trứng cá mức độ trung bình,CATEGORY_NARROWING,"Đây là MỘT bậc mức độ nặng, không phải từ đồng nghĩa; gán nó bằng 'mụn trứng cá' nói chung là cam kết mức độ không có căn cứ",YES
N76.0,Viêm âm đạo,viêm âm đạo do nấm,CATEGORY_NARROWING,"Viêm âm đạo do nấm Candida là B37.3 - MỘT nguyên nhân; viêm âm đạo còn do vi khuẩn (BV), Trichomonas, teo niêm mạc, điều trị khác hẳn",YES
N76.0,Viêm âm đạo,nhiễm nấm âm đạo,CATEGORY_NARROWING,Cùng vấn đề: nhiễm nấm âm đạo (B37.3) chỉ là một căn nguyên của viêm âm đạo,YES
B35.9,Nấm da,nhiễm nấm da,TRUE_SYNONYM,Cùng khái niệm nhiễm nấm da (dermatophytosis),NO
B35.9,Nấm da,nấm bẹn,CATEGORY_NARROWING,"Nấm bẹn (tinea cruris) là B35.6 - MỘT vị trí; nấm da còn có nấm chân B35.3, nấm da đầu B35.0",YES
D69.3,Xuất huyết giảm tiểu cầu vô căn,xuất huyết giảm tiểu cầu,OTHER,"Bỏ định tính 'vô căn'; vẫn là hội chứng xuất huyết do giảm tiểu cầu, D69.3 là quy chiếu mặc định (còn dư lượng mơ hồ với thể thứ phát/TTP)",NO
D69.3,Xuất huyết giảm tiểu cầu vô căn,giảm tiểu cầu,SYMPTOM_AS_DISEASE,"Giảm tiểu cầu là KẾT QUẢ XÉT NGHIỆM: ở Việt Nam nguyên nhân hàng đầu là sốt xuất huyết Dengue, ngoài ra nhiễm khuẩn huyết, thuốc, xơ gan, lơ xê mi, TTP",YES
D56.9,Thalassemia,tan máu bẩm sinh,TRUE_SYNONYM,Tên tiếng Việt chính thức của thalassemia trong truyền thông y tế; đã được phê duyệt trong canonical map,NO
D56.9,Thalassemia,bệnh thalassmia,OTHER,Lỗi chính tả của 'thalassemia',NO
I48.9,Rung nhĩ,bệnh rung nhĩ,TRUE_SYNONYM,Chỉ thêm tiền tố 'bệnh'; cùng khái niệm,NO
I48.9,Rung nhĩ,loạn nhịp tim,CATEGORY_NARROWING,"Loạn nhịp tim là NHÓM (nhịp nhanh thất, block, nhịp nhanh trên thất, ngoại tâm thu); rung nhĩ chỉ là một thành viên - đúng ví dụ rule 1 đã bị bác",YES
M75.2,Viêm gân vai,viêm quanh khớp vai,CATEGORY_NARROWING,"Viêm quanh khớp vai là cụm hội chứng rộng gồm đông cứng khớp vai (M75.0), rách chóp xoay (M75.1); viêm gân nhị đầu M75.2 chỉ là một thể",YES
M75.2,Viêm gân vai,đau vai,SYMPTOM_AS_DISEASE,"Đau vai là TRIỆU CHỨNG: còn do bệnh lý rễ cổ, chóp xoay, và đau lan từ cơ hoành/túi mật/NMCT",YES
E27.4,Suy tuyến thượng thận,suy thượng thận,TRUE_SYNONYM,Dạng rút gọn của suy tuyến thượng thận; cùng khái niệm,NO
E28.2,Đa nang buồng trứng,hội chứng đa nang buồng trứng,TRUE_SYNONYM,Tên đầy đủ của cùng khái niệm PCOS,NO
E28.2,Đa nang buồng trứng,PCOS,OTHER,Viết tắt tiếng Anh của hội chứng buồng trứng đa nang,NO
N40,Phì đại lành tính tuyến tiền liệt,phì đại tuyến tiền liệt,TRUE_SYNONYM,Dạng rút gọn quy ước của phì đại lành tính TTL; cùng khái niệm,NO
N40,Phì đại lành tính tuyến tiền liệt,u xơ tuyến tiền liệt,TRUE_SYNONYM,Tên tiếng Việt truyền thống của BPH; cùng khái niệm,NO
D25.9,U xơ tử cung,bệnh u xơ tử cung,TRUE_SYNONYM,Chỉ thêm tiền tố 'bệnh'; cùng khái niệm,NO
D50.9,Thiếu máu thiếu sắt,thiếu máu do thiếu sắt,TRUE_SYNONYM,Biến thể từ ngữ của chính name_vi; cùng khái niệm,NO
D50.9,Thiếu máu thiếu sắt,thiếu máu nặng,CATEGORY_NARROWING,"'Nặng' là MỨC ĐỘ chứ không phải căn nguyên; thiếu máu nặng còn do thalassemia (D56.9 trong chính từ điển này), thiếu B12/folate, tan máu, suy tủy, mất máu cấp, ác tính",YES
