Head,Relation,Tail,SourceSampleID
Rung nhĩ,HAS_SYMPTOM,Hồi hộp đánh trống ngực,syn_057
Rung nhĩ,HAS_SYMPTOM,Khó thở khi gắng sức,syn_057
Escitalopram 10mg,PRESCRIBED_FOR,Rối loạn lo âu lan tỏa,syn_059
Rối loạn lo âu lan tỏa,HAS_SYMPTOM,Lo lắng quá mức,syn_059
Rối loạn lo âu lan tỏa,HAS_SYMPTOM,Khó tập trung công việc,syn_059
Suy giáp,HAS_SYMPTOM,Mệt mỏi kéo dài,syn_060
Suy giáp,HAS_SYMPTOM,Sợ lạnh,syn_060
Hydrocortisone 10mg,PRESCRIBED_FOR,Suy tuyến thượng thận,syn_061
Suy tuyến thượng thận,HAS_SYMPTOM,Mệt mỏi kéo dài,syn_061
Suy tuyến thượng thận,HAS_SYMPTOM,Sụt cân,syn_061
Suy tuyến thượng thận,HAS_SYMPTOM,Sụt cân không rõ nguyên nhân,syn_061
Thiếu máu thiếu sắt,HAS_SYMPTOM,Mệt mỏi,syn_062
Thiếu máu thiếu sắt,HAS_SYMPTOM,Da xanh xao,syn_062
Meloxicam 15mg,PRESCRIBED_FOR,Thoát vị đĩa đệm cột sống thắt lưng,syn_063
Meloxicam 15mg,TREATS,Đau thắt lưng,syn_063
Thoát vị đĩa đệm cột sống thắt lưng,HAS_SYMPTOM,Đau thắt lưng,syn_063
Thoát vị đĩa đệm cột sống thắt lưng,HAS_SYMPTOM,Tê bì cẳng chân,syn_063
Tranexamic acid 500mg,PRESCRIBED_FOR,U xơ tử cung,syn_064
Tranexamic acid 500mg,TREATS,Rong kinh,syn_064
Tranexamic acid 500mg,TREATS,Rong kinh kéo dài,syn_064
U xơ tử cung,HAS_SYMPTOM,Đau tức hạ vị,syn_064
U xơ tử cung,HAS_SYMPTOM,Rong kinh kéo dài,syn_064
Viêm gan vi-rút B mạn,HAS_SYMPTOM,Vàng da,syn_065
Viêm gan vi-rút B mạn,HAS_SYMPTOM,Mệt mỏi kéo dài,syn_065
Viêm gan vi-rút B mạn,CAUSES,Vàng da,syn_065
Meloxicam 15mg,PRESCRIBED_FOR,Viêm gân vai,syn_067
Viêm gân vai,HAS_SYMPTOM,Đau nhói khớp vai khi giơ tay lên cao,syn_067
Viêm gân vai,HAS_SYMPTOM,Hạn chế tầm vận động khớp,syn_067
Viêm phổi,HAS_SYMPTOM,Sốt cao,syn_068
Viêm phổi,HAS_SYMPTOM,Ho khạc đờm mủ,syn_068
Viêm ruột thừa cấp,HAS_SYMPTOM,Đau bụng,syn_069
Viêm ruột thừa cấp,HAS_SYMPTOM,Sốt nhẹ,"syn_069,syn_088,syn_092,syn_095"
Clotrimazole,PRESCRIBED_FOR,Viêm âm đạo do nấm,syn_070
Clotrimazole,TREATS,Viêm ngứa,syn_070
Viêm âm đạo do nấm,HAS_SYMPTOM,Ngứa rát vùng kín,syn_070
Viêm âm đạo do nấm,HAS_SYMPTOM,Ra khí hư đặc dính màu trắng đục như váng sữa,syn_070
Viêm âm đạo do nấm,HAS_SYMPTOM,Ngứa rát vùng kín dữ dội,syn_070
Cyproterone acetate 2mg,PRESCRIBED_FOR,Đa nang buồng trứng,syn_071
Diane-35,PRESCRIBED_FOR,Đa nang buồng trứng,syn_071
Ethinylestradiol 0.03mg,PRESCRIBED_FOR,Đa nang buồng trứng,syn_071
Đa nang buồng trứng,HAS_SYMPTOM,Rối loạn kinh nguyệt,syn_071
Đa nang buồng trứng,HAS_SYMPTOM,Vòng kinh kéo dài,syn_071
Đa nang buồng trứng,HAS_SYMPTOM,Rậm lông mặt,syn_071
Đái tháo đường týp 2,HAS_SYMPTOM,Khát nước liên tục,syn_072
Đái tháo đường týp 2,HAS_SYMPTOM,Sụt cân nhanh,syn_072
Depakine Chrono 500mg,PRESCRIBED_FOR,Động kinh,syn_073
Depakine Chrono 500mg,TREATS,Cơn co giật,syn_073
Depakine Chrono 500mg,TREATS,Co giật toàn thể cứng - gi clon,syn_073
Động kinh,HAS_SYMPTOM,Co giật toàn thể cứng - gi clon,syn_073
Động kinh,HAS_SYMPTOM,Mất ý thức đột ngột,syn_073
Động kinh,HAS_SYMPTOM,Sủi bọt mép,syn_073
Động kinh,HAS_SYMPTOM,Mất ý thức,syn_073
Bệnh Migraine,HAS_SYMPTOM,Đau đầu dữ dội theo mạch đập ở một bên thái dương,syn_074
Bệnh Migraine,HAS_SYMPTOM,Đau đầu dữ dội,syn_074
Sumatriptan 50mg,PRESCRIBED_FOR,Bệnh Migraine,syn_074
Alendronate 70mg,PRESCRIBED_FOR,Loãng xương,syn_075
Loãng xương,HAS_SYMPTOM,Đau nhức âm ỉ vùng cột sống thắt lưng,syn_075
Loãng xương,HAS_SYMPTOM,Chiều cao cơ thể giảm,syn_075
Loãng xương,HAS_SYMPTOM,Đau nhức âm ỉ cột sống thắt lưng,syn_075
Cefixim 200mg,PRESCRIBED_FOR,Nhiễm trùng đường tiết niệu,syn_076
Nhiễm trùng đường tiết niệu,HAS_SYMPTOM,Sốt nhẹ,syn_076
Phì đại lành tính tuyến tiền liệt,HAS_SYMPTOM,Tiểu khó,syn_077
Phì đại lành tính tuyến tiền liệt,HAS_SYMPTOM,Tiểu ngắt quãng,syn_077
Ruột kích thích,HAS_SYMPTOM,Đau quặn bụng,syn_078
Ruột kích thích,HAS_SYMPTOM,Tiêu chảy,syn_078
Ruột kích thích,HAS_SYMPTOM,Táo bón,syn_078
Ruột kích thích,HAS_SYMPTOM,Đau quặn bụng từng cơn,syn_078
Trimebutin 200mg,PRESCRIBED_FOR,Ruột kích thích,syn_078
Trimebutin 200mg,TREATS,Đau quặn bụng,syn_078
Trimebutin 200mg,TREATS,Đau quặn bụng từng cơn,syn_078
Diclofenac,PRESCRIBED_FOR,Sỏi thận,syn_079
Diclofenac,TREATS,Đau quặn thận bên phải,syn_079
Sỏi thận,HAS_SYMPTOM,Đau quặn thận bên phải,syn_079
Sỏi thận,HAS_SYMPTOM,Tiểu máu vi thể,syn_079
Meloxicam 15mg,PRESCRIBED_FOR,Thoái hóa khớp gối,syn_080
Thoái hóa khớp gối,HAS_SYMPTOM,Đau khớp,syn_080
Thoái hóa khớp gối,HAS_SYMPTOM,Cứng khớp buổi sáng,syn_080
Viêm dạ dày ruột nhiễm khuẩn,HAS_SYMPTOM,Tiêu chảy cấp,syn_082
Viêm dạ dày ruột nhiễm khuẩn,HAS_SYMPTOM,Đau quặn bụng vùng quanh rốn,syn_082
Viêm khớp dạng thấp,HAS_SYMPTOM,Sưng đau các khớp bàn tay đối xứng,syn_083
Viêm khớp dạng thấp,HAS_SYMPTOM,Cứng khớp buổi sáng kéo dài trên 1 giờ,syn_083
Paracetamol 500mg,PRESCRIBED_FOR,Viêm mũi họng cấp,syn_084
Paracetamol 500mg,TREATS,Đau đầu,syn_084
Viêm mũi họng cấp,HAS_SYMPTOM,Đau rát họng,syn_084
Viêm mũi họng cấp,HAS_SYMPTOM,Nghẹt mũi,syn_084
Furosemide 40mg,TREATS,Phù chi dưới,syn_085
Furosemide 40mg,TREATS,Khó thở khi gắng sức,syn_085
Suy tim sung huyết,HAS_SYMPTOM,Khó thở khi gắng sức,syn_085
Suy tim sung huyết,HAS_SYMPTOM,Phù chi dưới,syn_085
Trào ngược dạ dày thực quản,HAS_SYMPTOM,Ợ chua,syn_086
Trào ngược dạ dày thực quản,HAS_SYMPTOM,Nóng rát sau xương ức,syn_086
Omeprazole 20mg,PRESCRIBED_FOR,Loét,syn_087
Omeprazole 20mg,TREATS,Đau thượng vị,syn_087
Omeprazole 20mg,TREATS,Ợ chua,syn_087
Viêm loét dạ dày,HAS_SYMPTOM,Ợ chua,syn_087
Viêm loét dạ dày,CAUSES,Đau thượng vị,syn_087
Viêm ruột thừa cấp,HAS_SYMPTOM,Đau bụng vùng hố chậu phải,"syn_088,syn_092"
Meloxicam 15mg,TREATS,Đau nhói vùng thắt lưng,syn_089
Rối loạn lipid máu,HAS_SYMPTOM,Tê bì hai chi dưới,syn_090
Rối loạn lipid máu,CAUSES,Xơ vữa động mạch cảnh,syn_090
Meloxicam 7.5mg,PRESCRIBED_FOR,Đau thắt lưng,syn_091
Đau thắt lưng,HAS_SYMPTOM,Đau nhói vùng cột sống,syn_091
Đau thắt lưng,HAS_SYMPTOM,Hạn chế vận động rõ rệt khi cúi người,syn_091
Đau thắt lưng,HAS_SYMPTOM,Hạn chế vận động,syn_091
Atorvastatin 20mg,PRESCRIBED_FOR,Xơ vữa động mạch cảnh,syn_093
Xơ vữa động mạch cảnh,HAS_SYMPTOM,Chóng mặt kéo dài,syn_093
Xơ vữa động mạch cảnh,HAS_SYMPTOM,Tê yếu nửa người thoáng qua,syn_093
Rối loạn lipid máu,HAS_SYMPTOM,Đau tức ngực âm ỉ,syn_094
Rối loạn lipid máu,HAS_SYMPTOM,Chóng mặt,syn_094
Rối loạn lipid máu,HAS_SYMPTOM,Hoa mắt,syn_094
"NaCl 0,9% 500ml",PRESCRIBED_FOR,Viêm ruột thừa cấp,syn_095
Viêm ruột thừa cấp,HAS_SYMPTOM,Đau quặn hố chậu phải,syn_095
Meloxicam 15mg,PRESCRIBED_FOR,Đau thắt lưng,syn_096
Đau thắt lưng,HAS_SYMPTOM,Hạn chế vận động cột sống,syn_096
Đau thắt lưng,HAS_SYMPTOM,Co cứng cơ cạnh sống thắt lưng,syn_096
